"astro-ph/0212003","Alan Kostelecky","Alan Kostelecky, Ralf Lehnert, and Malcolm Perry","Spacetime-varying couplings and Lorentz violation","4 pages","Phys.Rev.D68:123511,2003","10.1103/PhysRevD.68.123511","IUHET 452","astro-ph hep-ph",,"  Spacetime-varying coupling constants can be associated with violations of
local Lorentz invariance and CPT symmetry. An analytical supergravity cosmology
with time-varying fine-structure constant provides an explicit example.
Estimates are made for some experimental constraints.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 19:35:11 GMT""}]","2009-09-25"
"cs/0212055","Shafi Goldwasser","Shafi Goldwasser","Mathematical foundations of modern cryptography: computational
  complexity perspective",,"Proceedings of the ICM, Beijing 2002, vol. 1, 245--272",,"ICM-2002","cs.CR cs.CC",,"  Theoretical computer science has found fertile ground in many areas of
mathematics. The approach has been to consider classical problems through the
prism of computational complexity, where the number of basic computational
steps taken to solve a problem is the crucial qualitative parameter. This new
approach has led to a sequence of advances, in setting and solving new
mathematical challenges as well as in harnessing discrete mathematics to the
task of solving real-world problems.
  In this talk, I will survey the development of modern cryptography -- the
mathematics behind secret communications and protocols -- in this light. I will
describe the complexity theoretic foundations underlying the cryptographic
tasks of encryption, pseudo-randomness number generators and functions, zero
knowledge interactive proofs, and multi-party secure protocols. I will attempt
to highlight the paradigms and proof techniques which unify these foundations,
and which have made their way into the mainstream of complexity theory.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"cs/0212056","Shafi Goldwasser","Shafi Goldwasser","On the Work of Madhu Sudan: the 2002 Nevalinna Prize Winner",,"Proceedings of the ICM, Beijing 2002, vol. 1, 105--115",,"ICM-2002","cs.CC",,"  Madhu Sudan's work spans many areas of computer science theory including
computational complexity theory, the design of efficient algorithms,
algorithmic coding theory, and the theory of program checking and correcting.
  Two results of Sudan stand out in the impact they have had on the mathematics
of computation. The first work shows a probabilistic characterization of the
class NP -- those sets for which short and easily checkable proofs of
membership exist, and demonstrates consequences of this characterization to
classifying the complexity of approximation problems. The second work shows a
polynomial time algorithm for list decoding the Reed Solomon error correcting
codes.
  This short note will be devoted to describing Sudan's work on
probabilistically checkable proofs -- the so called {\it PCP theorem} and its
implications.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"gr-qc/0212003","Grigori Volovik","G.E. Volovik","Quantum vacua: momentum space topology of fermion zero modes","LaTeX file, 6 pages, no Figures, prepared for proceedings of XVIII
  IAP Colloquium `On the Nature of Dark Energy'",,,,"gr-qc cond-mat hep-ph hep-th",,"  Quantum vacua are characterized by the topological structure of their fermion
zero modes. The vacua are distributed into universality classes protected by
topology in momentum space. The vacua whose manifold of fermion zero modes has
co-dimension 3 are of special interest because in the low-energy corner the
fermionic excitations become the Weyl relativistic chiral fermions, while the
dynamical bosonic collective modes of the fermionic vacuum interact with the
chiral fermions as the effective gravity and gauge fields. The relativistic
invariance, the chirality of fermions, the gauge and gravity fields, the
relativistic spin, etc., are the emergent low-energy properties of the quantum
vacuum with such fermion zero modes. The vacuum of the Standard Model and the
vacuum of superfluid 3He-A belong to this universality class and thus they are
described by similar effective theories. This allows us to use this quantum
liquid for the theoretical and experimental simulations of many problems
related to the quantum vacuum, such as the chiral anomaly and the cosmological
constant problems.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 12:19:18 GMT""}]","2007-05-23"
"gr-qc/0212004","Peter Ostermann","Peter Ostermann","Relativity Theory and a Real Pioneer Effect","5 pages; changed in this final version v3: abstract, appendix,
  replaced section ""E - Discussion"" (even including the Hubble shift relativity
  theory would obviously contradict a non-conventional Pioneer effect)",,,,"gr-qc",,"  Keeping the relativistic laws of motion a non-conventional Pioneer effect
would prove an increase of the scale rate of atomic clocks in comparison with
planetary ones. Together with a slowly decreasing amount of about 60% due to
anisotropic radiation this would be a thinkable explanation for an apparent
anomalous acceleration of the Pioneer 10/11 probes. Such a difference between
atomic time and ephemeris time, however, (coincidentally corresponding to that
of atomic time and cosmic time as derived from any cosmological model of
general relativity, where the cosmic 'coordinate' speed of light is fixed to be
c* = c) is ruled out by solar system's observational facts. Thus a
non-conventional Pioneer effect would inevitably contradict relativity theory.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 15:35:39 GMT""},{""version"":""v2"",""created"":""Wed, 9 Jul 2003 15:18:15 GMT""},{""version"":""v3"",""created"":""Tue, 28 Oct 2003 17:53:28 GMT""}]","2007-05-23"
"gr-qc/0212005","Lorenzo Iorio","Lorenzo Iorio","A reassessment of the systematic gravitational error in the LARES
  mission","Latex2e, 11 pages, 1 table, 3 figures. Minor changes. To appear in
  General Relativity and Gravitation","Gen.Rel.Grav. 35 (2003) 1263-1272","10.1023/A:1024401909008",,"gr-qc astro-ph physics.space-ph",,"  In this letter we reexamine the evaluation of \zone in some proposed tests of
relativistic gravitomagnetism with existing and proposed laser--ranged
LAGEOS--like satellites in the gravitational field of the Earth. A more
conservative and realistic approach is followed by using the diagonal part only
of the covariance matrix of the EGM96 Earth's gravity model up to degree l=20.
It turns out that, within this context and according to the present level of
knowledge of the terrestrial gravitational field, the best choice would be the
use of a recently proposed combination using the nodes \Omega of LAGEOS, LAGEOS
II and LARES and the perigees \omega of LAGEOS II and LARES. Indeed, it turns
out to be insensitive both to the even zonal harmonics of degree higher than
l=20 and to the correlation among them
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 15:44:27 GMT""},{""version"":""v2"",""created"":""Wed, 19 Feb 2003 14:35:13 GMT""}]","2007-11-12"
"hep-lat/0212002","David N. Walters","Costas G. Strouthos and David N. Walters (U.W.Swansea)","Mass Generation without Phase Coherence at Nonzero Temperature","18 pages, 9 figures","Phys.Rev.D67:034505,2003","10.1103/PhysRevD.67.034505","SWAT/02/359","hep-lat cond-mat hep-ph",,"  We present results from numerical simulations of the 2+1d SU(2)xSU(2) Nambu -
Jona-Lasinio model with N_f=4 fermion flavours at zero and nonzero temperature
T. At zero temperature, critical exponents are extracted from the scaling of
the order parameter and fermion mass and are found to be consistent with
next-to-leading order predictions of the 1/N_f expansion. At nonzero
temperature we observe fermion mass generation despite the lack of chiral
symmetry breaking, which is forbidden by the Colemann-Mermin-Wagner theorem for
all T>0. We study the effects of lattice discretisation and finite volume on
the dynamically generated fermion mass. By study of the lattice dispersion
relation we also show that in the hot phase there is no significant temperature
induced modification to the speed of light. Studies of the equation of state
are made by measuring the pressure as a function of temperature and comparison
is made with large-N_f predictions.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 17:04:57 GMT""},{""version"":""v2"",""created"":""Wed, 11 Dec 2002 13:43:44 GMT""}]","2014-11-17"
"hep-ph/0212003","Fred Jegerlehner","F. Jegerlehner (DESY Zeuthen), M. Yu. Kalmykov (DESY Zeuthen), O.
  Veretin (Karlsruhe University)","Full two-loop electroweak corrections to the pole masses of gauge bosons","6 pages","Nucl.Phys.Proc.Suppl. 116 (2003) 382-386","10.1016/S0920-5632(03)80204-9","DESY 02-209","hep-ph",,"  We discuss progress in SM two-loop calculations of the pole position of the
massive gauge-boson propagators.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 16:06:30 GMT""}]","2009-11-07"
"hep-ph/0212004","Fred Jegerlehner","F. Jegerlehner (DESY Zeuthen), O. Tarasov (DESY Zeuthen)","FIRCLA, one-loop correction to e+ e- to nu anti-nu H and basis of
  Feynman integrals in higher dimensions","6 pages 1 figure, reference to G. Belanger et al. added","Nucl.Phys.Proc.Suppl. 116 (2003) 83-87","10.1016/S0920-5632(03)80149-4","DESY 02-210","hep-ph",,"  An approach for an effective computer evaluation of one-loop multi-leg
diagrams is proposed. It's main feature is the combined use of several systems
- DIANA, FORM and MAPLE. As an application we consider the one-loop correction
to Higgs production in e+ e- to nu anti-nu H, which is important for future e+
e- colliders. To improve the stability of numerical evaluations a non-standard
basis of integrals is introduced by transforming integrals to higher
dimensions.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 16:08:38 GMT""},{""version"":""v2"",""created"":""Mon, 9 Dec 2002 01:53:06 GMT""}]","2009-11-07"
"hep-ph/0212006","Alexander Belyaev","O. Cakir, C. Leroy, R. Mehdiyev, A. Belyaev","Production and Decay of Excited Electrons at the LHC","19 pages, 8 figures, LaTex, EPJ style","Eur.Phys.J.direct C30 (2003) 005; Eur.Phys.J. C32S2 (2004) 1-18","10.1140/epjcd/s2003-01-005-5","SN-ATLAS-2002-022, FSU-HEP-021130","hep-ph",,"  We study single production of excited electrons at the CERN LHC through
contact interactions of fermions. Subsequent decays of excited electrons to
ordinary electrons and light fermions via gauge and contact interactions are
examined. The mass range accessible with the ATLAS detector is obtained.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 22:31:23 GMT""},{""version"":""v2"",""created"":""Mon, 1 Mar 2004 18:54:47 GMT""}]","2015-06-25"
"hep-ph/0212007","Ken-ichi Okumura","Ken-ichi Okumura and Leszek Roszkowski","$B \to X_s \gamma$ in minimal supersymmetric standard model with general
  flavor mixing","8 pages, 14 figures, talk given at the 10th International Conference
  on Supersymmetry and Unification of Fundamental Interactions (SUSY02) June
  17-23, 2002, DESY Hamburg",,,,"hep-ph",,"  We present the results of our analysis on $b \to s \gamma$ in the minimal
supersymmetric standard model with a general flavor mixing in the squark
sector. We identify the next--to--leading order focusing effect, which
considerably reduces the gluino contribution to $b \to s \gamma$ relative to
the leading order calculation. We illustrate that $BR(B \to X_s \gamma)$ is
still very sensitive to the flavor mixing parameters, $\delta^d_{ll}$ and
$\delta^d_{lr}$ so that the lower bound for $m_{1/2}$ obtained in the minimal
flavor violation can be easily removed even at $\mu<0$, while it is rather
stable against $\delta^d_{rr}$ and $\delta^d_{rl}$.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 23:28:55 GMT""}]","2007-05-23"
"hep-ph/0212008","Z. Xiao","Zhenjun Xiao and Liping Yao","Rare decay $B \to X_{s} \nu \bar \nu$ in the two-Higgs-doublet model of
  type-III","10 pages, 3 figures in eps and 1 in ps, Latex file","Commun.Theor.Phys.38:683-686,2002","10.1088/0253-6102/38/6/683",,"hep-ph",,"  In this paper, we calculated the new physics contribution to theoretically
very clean rare decay $B\to X_{s} \nu \bar{\nu}$ in the general
two-Higgs-doublet model (model III). Within the considered parameter space, we
found that (a) the new physics contribution can provide one to two orders of
enhancement to the branching ratio $\calb(B\to X_s \nu \bar{\nu})$ and can
saturate the experimental bound on $\calb(B \to X_s \nu \bar{\nu})$ in some
regions of the parameter space; (b) besides the CLEO data of $B \to X_s
\gamma$, the ALEPH upper limit on $\calb (B \to X_s \nu \bar{\nu})$ also lead
to further constraint on the size of the Yukawa coupling $\lambda_{tt}$:
$\lambda_{tt}< 6.4$ for $\lambda_{bb}=2.7$ and $\mhp=200$ GeV.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 04:08:39 GMT""},{""version"":""v2"",""created"":""Wed, 11 Dec 2002 09:38:19 GMT""}]","2018-01-17"
"hep-ph/0212009","Yasuhiko Tsue","Y.Tsue (Kochi Univ., Japan)","Time-Evolution of Collective Meson Fields and Amplification of Quantum
  Meson Modes in Chiral Phase Transition","4 pages; Talk presented at the XVIth International Conference on
  Particles and Nuclei (PANIC02), Sep. 30 - Oct. 4, 2002, Osaka, Japan, to
  appear in Nuclear Physics A","Nucl.Phys. A721 (2003) 281-284","10.1016/S0375-9474(03)01050-9",,"hep-ph",,"  The time evolution of quantum meson fields in the O(4) linear sigma model is
investigated in a context of the dynamical chiral phase transition. It is shown
that amplitudes of quantum pion modes are amplified due to both mechanisms of a
parametric resonance and a resonance by the forced oscillation according to the
small oscillation of the chiral condensate in the late time of chiral phase
transition.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 06:58:15 GMT""}]","2009-11-07"
"hep-ph/0212010","Howard E. Haber","Howard E. Haber","Decoupling and the radiatively-corrected MSSM Higgs sector","6 pages, 1 figure, LaTeX with npb.sty, talk at RADCOR-2002 - Loops
  and Legs 2002, Kloster Banz, Germany, 8-13 September 2002","Nucl.Phys.Proc.Suppl. 116 (2003) 291-295","10.1016/S0920-5632(03)80186-X","SCIPP-02/27","hep-ph",,"  In the decoupling limit of a non-minimal Higgs sector, the lightest CP-even
Higgs boson (h) is indistinguishable from the Standard Model (SM) Higgs boson.
In the two-Higgs-doublet sector of the MSSM, the approach to the decoupling
limit (for m_A>>m_Z) persists, even in the presence of potentially large
(tan(beta)-enhanced) radiative corrections to the hbb coupling. Radiative
corrections can also generate an accidental cancellation between tree-level and
one-loop terms, resulting in a SM-like Higgs boson for moderate m_A outside the
decoupling regime.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 10:26:01 GMT""}]","2009-11-07"
"hep-th/0212002","Carlos A. R. Herdeiro","Carlos A. R. Herdeiro","Spinning deformations of the D1-D5 system and a geometric resolution of
  Closed Timelike Curves","20 pages, no figures, LaTeX; v2: Minor improvements, to appear in
  Nucl. Phys. B","Nucl.Phys. B665 (2003) 189-210","10.1016/S0550-3213(03)00484-X",,"hep-th gr-qc",,"  The SO(4) isometry of the extreme Reissner-Nordstrom black hole of N=1, D=5
supergravity can be partly broken, without breaking any supersymmetry, in two
different ways. The ``right'' solution is a rotating black hole (BMPV); the
``left'' is interpreted as a black hole in a Godel universe. In ten dimensions,
both spacetimes are described by deformations of the D1-D5-pp-wave system with
the property that the non-trivial Closed Timelike Curves of the five
dimensional manifold are absent in the universal covering space of the ten
dimensional manifold. In the decoupling limit, the BMPV deformation is
normalizable. It corresponds to the vev of an IR relevant operator of dimension
\Delta=1. The Godel deformation is sub-leading in \alpha' unless we take an
infinite vorticity limit; in such case it is a non-normalizable perturbation.
It corresponds to the insertion of a vector operator of dimension \Delta=5.
Thus we conclude that from the dual (1+1)-CFT viewpoint the SO(4) R-symmetry is
broken `spontaneously' in the BMPV case and explicitly in the Godel case.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 18:58:02 GMT""},{""version"":""v2"",""created"":""Mon, 3 Feb 2003 11:23:12 GMT""}]","2009-11-07"
"hep-th/0212003","Sergei Ketov","Sergei V. Ketov (Tokyo Metropolitan U.)","Instanton-induced scalar potential for the universal hypermultiplet","19 pages, LaTeX, extra paragraph added to the conclusion","Nucl.Phys. B656 (2003) 63-77","10.1016/S0550-3213(03)00103-2",,"hep-th",,"  We calculate the scalar potential in the gauged N=2 supergravity with a
single hypermultiplet, whose generic quaternionic moduli space metric has an
abelian isometry. This isometry is gauged by the use of a graviphoton gauge
field. The hypermultiplet metric and the scalar potential are both governed by
the single real potential that is a solution to the 3d (integrable) continuous
Toda equation. An explicit solution, controlled by the Eisenstein series
E_{3/2}, is found in the case of the D-instanton-corrected universal
hypermultilet moduli space metric having an U(1)xU(1) isometry, with one of the
isometries being gauged.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 02:44:34 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jan 2003 06:46:42 GMT""}]","2010-04-05"
