"astro-ph/0202286","Yong-Seon Song","Lloyd Knox and Yong-Seon Song (UC Davis)","A limit on the detectability of the energy scale of inflation","4 pages, 3 figures, submitted to PRL","Phys.Rev.Lett. 89 (2002) 011303","10.1103/PhysRevLett.89.011303",,"astro-ph hep-ph",,"  We show that the polarization of the cosmic microwave background can be used
to detect gravity waves from inflation if the energy scale of inflation is
above 3.2 times 10^15 GeV. These gravity waves generate polarization patterns
with a curl, whereas (to first order in perturbation theory) density
perturbations do not. The limiting ``noise'' arises from the second--order
generation of curl from density perturbations, or rather residuals from its
subtraction. We calculate optimal sky coverage and detectability limits as a
function of detector sensitivity and observing time.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 19:02:21 GMT""}]","2009-11-07"
"cond-mat/0202266","Ned S. Wingreen","Kenji Hirose and Ned S. Wingreen","Ground-state energy and spin in disordered quantum dots","10 pages, 2 figures",,"10.1103/PhysRevB.65.193305",,"cond-mat.mes-hall",,"  We investigate the ground-state energy and spin of disordered quantum dots
using spin-density-functional theory. Fluctuations of addition energies
(Coulomb-blockade peak spacings) do not scale with average addition energy but
remain proportional to level spacing. With increasing interaction strength, the
even-odd alternation of addition energies disappears, and the probability of
non-minimal spin increases, but never exceeds 50%. Within a two-orbital model,
we show that the off-diagonal Coulomb matrix elements help stabilize a ground
state of minimal spin.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 16:17:45 GMT""}]","2009-11-07"
"cond-mat/0202267","Andrea Puglisi","Umberto Marini Bettolo Marconi and Andrea Puglisi","Steady state properties of a mean field model of driven inelastic
  mixtures","23 pages, 10 figures, submitted for publication","Phys. Rev. E 66, 011301 (2002)","10.1103/PhysRevE.66.011301",,"cond-mat.stat-mech",,"  We investigate a Maxwell model of inelastic granular mixture under the
influence of a stochastic driving and obtain its steady state properties in the
context of classical kinetic theory. The model is studied analytically by
computing the moments up to the eighth order and approximating the
distributions by means of a Sonine polynomial expansion method. The main
findings concern the existence of two different granular temperatures, one for
each species, and the characterization of the distribution functions, whose
tails are in general more populated than those of an elastic system. These
analytical results are tested against Monte Carlo numerical simulations of the
model and are in general in good agreement. The simulations, however, reveal
the presence of pronounced non-gaussian tails in the case of an infinite
temperature bath, which are not well reproduced by the Sonine method.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 16:28:38 GMT""}]","2009-11-07"
"cond-mat/0202268","Eleonora Alfinito","C. Pennetta, L. Reggiani, Gy. Tref\'an, and E. Alfinito","Resistance and Resistance Fluctuations in Random Resistor Networks Under
  Biased Percolation","15 figures, 23 pages","PRE 65,066119(1-10), 2002","10.1103/PhysRevE.65.066119",,"cond-mat",,"  We consider a two-dimensional random resistor network (RRN) in the presence
of two competing biased percolations consisting of the breaking and recovering
of elementary resistors. These two processes are driven by the joint effects of
an electrical bias and of the heat exchange with a thermal bath. The electrical
bias is set up by applying a constant voltage or, alternatively, a constant
current. Monte Carlo simulations are performed to analyze the network evolution
in the full range of bias values. Depending on the bias strength, electrical
failure or steady state are achieved. Here we investigate the steady-state of
the RRN focusing on the properties of the non-Ohmic regime. In constant voltage
conditions, a scaling relation is found between $<R>/<R>_0$ and $V/V_0$, where
$<R>$ is the average network resistance, $<R>_0$ the linear regime resistance
and $V_0$ the threshold value for the onset of nonlinearity. A similar relation
is found in constant current conditions. The relative variance of resistance
fluctuations also exhibits a strong nonlinearity whose properties are
investigated. The power spectral density of resistance fluctuations presents a
Lorentzian spectrum and the amplitude of fluctuations shows a significant
non-Gaussian behavior in the pre-breakdown region. These results compare well
with electrical breakdown measurements in thin films of composites and of other
conducting materials.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 17:23:30 GMT""}]","2009-11-07"
"cond-mat/0202269","Vadim Zotev","V. S. Zotev, G. F. Rodriguez, R. Orbach, E. Vincent, and J. Hammann","A Role of Initial Conditions in Spin-Glass Aging Experiments","13 pages, 11 figures","Physical Review B 67, 184422 (2003)","10.1103/PhysRevB.67.184422",,"cond-mat.dis-nn",,"  Effect of initial conditions on aging properties of the spin-glass state is
studied for a single crystal Cu:Mn 1.5 at %. It is shown that memory of the
initial state, created by the cooling process, remains strong on all
experimental time scales. Scaling properties of two relaxation functions, the
TRM and the IRM (with $t_{w1}=0$ and $t_{w2}=t_{w}$), are compared in detail.
The TRM decay exhibits the well-known subaging behavior, with $\mu<1$ and
$t_{w}^{eff}>t_{w}$. The IRM relaxation demonstrates the superaging behavior,
with $\mu>1$ and $t_{w}^{eff}<t_{w}$. It is shown that an average over
different initial conditions leads to systematic improvement in $t/t_{w}$
scaling. An effective barrier, describing influence of the initial state on
spin-glass relaxation, is found to be almost independent of temperature. These
results suggest that departures from full $t/t_{w}$ scaling, observed in aging
experiments, are largely due to cooling effects.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 18:41:25 GMT""},{""version"":""v2"",""created"":""Fri, 22 Feb 2002 17:55:49 GMT""}]","2007-05-23"
"cond-mat/0202270","J. R. Sanchez","Juan R. Sanchez (U. of Mar del Plata - Argentina)","Simple Simulational Model for Stocks Markets","9 pages, 4 figures, to appear in IJMPC",,,"MdP-0001/02/02","cond-mat",,"  A new model for stocks markets using integer values for each stock price is
presented. In contrast with previously reported models, the variables used in
the model are not of binary type, but of more general integer type. It is shown
how the behavior of the noisy and fundamentalists traders can be taken into
account simultaneously in the time evolution of each stock price. The simulated
time series is analysed in different ways order to compare parameters with
those of real markets.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 18:48:00 GMT""}]","2007-05-23"
"cond-mat/0202271","Alexander Efros","I. A. Merkulov (1), Al. L. Efros (2), and M. Rosen (2) ((1) Ioffe
  Institute, Russian Academy of Science, St. Petersburg, Russia, (2) Naval
  Research Laboratory, Nanostructure Optics Section, Washington DC)","Electron spin relaxation by nuclei in semiconductor quantum dots",,"Physical Review B, volume 65, 205309 (2002)","10.1103/PhysRevB.65.205309",,"cond-mat",,"  We have studied theoretically the electron spin relaxation in semiconductor
quantum dots via interaction with nuclear spins. The relaxation is shown to be
determined by three processes: (i) -- the precession of the electron spin in
the hyperfine field of the frozen fluctuation of the nuclear spins; (ii) -- the
precession of the nuclear spins in the hyperfine field of the electron; and
(iii) -- the precession of the nuclear spin in the dipole field of its nuclear
neighbors. In external magnetic fields the relaxation of electron spins
directed along the magnetic field is suppressed. Electron spins directed
transverse to the magnetic field relax completely in a time on the order of the
precession period of its spin in the field of the frozen fluctuation of the
nuclear spins. Comparison with experiment shows that the hyperfine interaction
with nuclei may be the dominant mechanism of electron spin relaxation in
quantum dots.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 22:04:09 GMT""}]","2009-11-07"
"cond-mat/0202272","Dominik Rogula","Dominik Rogula (Laboratory for Physics of Structured Matter, Polish
  Academy of Sciences, Warsaw)","Continuum field theory of string-like objects. Dislocations and
  superconducting vortices","10 pages. Presented at the International Symposium on Structured
  Media, Poznan, 16-21 Sep. 2001. To appear in ZAMP",,,,"cond-mat.supr-con cond-mat.mtrl-sci",,"  Dense distributions of string-like objects in material media are considered
in terms of continuum field theory. The strings are assumed to carry a
quantized abelian topological charge, such as the Burgers vector of
dislocations in solids or magnetic flux of supercurrent vortices in type-II
supercondoctors. Within this common framework the facts known from dislocation
theory can be extended, in appropriately modified forms, to other physical
contexts. In particular, the concept of incompatible distortions is
transplanted into the theory of type-II superconductivity. The compatibility
law for type-II superconductors is derived in terms of differential forms. As a
result, one obtains an appropriate generalization of the classic Londons'
equation.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 13:20:10 GMT""},{""version"":""v2"",""created"":""Mon, 29 Dec 2003 13:26:55 GMT""}]","2007-05-23"
"cond-mat/0202273","Dominik Rogula","M. Sztyren (Department of Mathematics and Information Science, Warsaw
  University of Technology)","Bi-continuum modelling of layered structures and crystalline interfaces","14 pages, 6 Poscript figures, corrected some typos",,,,"cond-mat.mtrl-sci",,"  The bi-continuum model composed of two interpenetrating and dynamically
coupled material continua is analysed as a simplified but relatively accurate
way to describe some physical phenomena in crystalline solids. The essential
novelty of our approach consists in treating a crystalline medium as
bi-continuum, even if the crystalline lattice is structurally single-component.
Particular attention is paid to the oscillatory behaviour of solutions on the
atomic level. Starting from a discrete atomic chain, the basic formulation of
the bi-continuum model is derived. The essential features of the model,
including accuracy of the results as functions of physical parameters, are
discussed.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 15:05:36 GMT""},{""version"":""v2"",""created"":""Tue, 21 May 2002 01:53:25 GMT""}]","2007-05-23"
"cond-mat/0202274","A. K. Aringazin","A.K. Aringazin and M.I. Mazhitov","Combinatorial interpretation of Haldane-Wu fractional exclusion
  statistics","8 pages, 2 eps-figures","Phys. Rev. E 66, 026116 (2002)","10.1103/PhysRevE.66.026116",,"cond-mat",,"  Assuming that the maximal allowed number of identical particles in state is
an integer parameter, q, we derive the statistical weight and analyze the
associated equation which defines the statistical distribution. The derived
distribution covers Fermi-Dirac and Bose-Einstein ones in the particular cases
q = 1 and q -> infinity (n_i/q -> 1), respectively. We show that the derived
statistical weight provides a natural combinatorial interpretation of
Haldane-Wu fractional exclusion statistics, and present exact solutions of the
distribution equation.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 02:59:02 GMT""}]","2007-05-23"
"cond-mat/0202275","J. Jeong","A. I. Leonov and V.S. Volkov","A theory of viscoelastic nematodynamics","26 pages",,,,"cond-mat",,"  A nonlinear viscoelastic theory of nematodynamic type is developed for
nematic liquid crystalline (LC) semi-flexible polymers. A measure of transient
elastic strain due to the change in length of macromolecular strands under
stress, and the director of unit length are employed in the theory as hidden
variables. In the marked contrast to the common theoretical approaches to low
molecular nematics, the effect of directors space gradient is neglected in the
present theory. Nevertheless, the theory allows describing nonlinear
anisotropic viscoelasticity and evolution equation for the director in flows of
LC polymers. When LC macromolecules are relatively rigid or when they are soft
but the flow is slow, a weakly nonlinear viscoelastic anisotropic behavior is
described by few temperature dependent parameters. In the infinitesimal case
the evolution equation for director reminds the Ericksens equation, but with an
additional relaxation term. The present theory can also be applied for
analyzing flows of concentrated polymer suspensions and nano-composites filled
with uniaxially symmetric particles.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 06:46:24 GMT""}]","2007-05-23"
"cond-mat/0202276","Christian Krattenthaler","Christian Krattenthaler (Universit\""at Wien), Anthony J. Guttmann
  (University of Melbourne) and Xavier G. Viennot (Universit\'e Bordeaux 1)","Vicious walkers, friendly walkers and Young tableaux III: Between two
  walls","15 pages, LaTeX; several typos in Section 3 corrected","J. Statist. Phys. 110 (2003), 1069-1086.",,,"cond-mat.stat-mech math.CO",,"  We derive exact and asymptotic results for the number of star and watermelon
configurations of vicious walkers confined to lie between two impenetrable
walls, as well as for the analogous problem for $\infty$-friendly walkers. Our
proofs make use of results from symmetric function theory and the theory of
basic hypergeometric series.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 11:50:56 GMT""},{""version"":""v2"",""created"":""Wed, 3 Jul 2002 12:06:13 GMT""}]","2007-05-23"
"cond-mat/0202277","T. Geetha Kumary","T. Geetha Kumary, J. Janaki, Awadhesh Mani, S. Mathi Jaya, V. S.
  Sastry, Y. Hariharan, T. S. Radhakrishnan, M. C. Valsakumar","Study of Normal and Superconducting States of MgCNi_3 upon Fe and Co
  Substitution and External Pressure","8 pages of LateX, 12 figures",,,,"cond-mat.supr-con",,"  Results of our study on the superconducting and normal state properties of
the recently discovered superconductor MgCNi_3, the effect of Fe and Co
substitution at the Ni site and the effect of pressure are reported. It is
shown that a two band model provides a consistent interpretation of the
temperature dependence of the normal state resistance and the Hall constant.
Whereas band structure calculations suggest an increase in T_c upon partial
substitution of Ni with Fe and Co, Co substitution quenches superconductivity
and Fe substitution leads to an increase followed by a decrease in T_c. The
observed variation of T_c may be explained in terms of a competition between
increase in T_c due to increase in density of states and a decrease due to spin
fluctuations. Based on these results, it is suggested that the spin
fluctuations are weaker in Fe doped samples as compared to the Co doped ones.
An initial decrease in T_c (and the normal state resistance) followed by an
increase is observed on application of pressure. The decrease in T_c for small
applied pressures can be understood in terms of the decrease in the density of
states at the Fermi level. The subsequent increase in T_c with pressure is due
to a lattice softening or a structural phase transition, consistent with the
band structure calculations. It is conjectured that suppression of spin
fluctuations by pressure may also be responsible for the observed increase in
T_c at higher pressures.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 12:11:06 GMT""}]","2007-05-23"
"cond-mat/0202278","Carsten Timm","C. Timm, D. Manske, and K. H. Bennemann","Phase diagram of underdoped cuprate superconductors: effect of
  Cooper-pair phase fluctuations","11 pages, including 8 figures",,"10.1103/PhysRevB.66.094515",,"cond-mat.supr-con cond-mat.str-el",,"  In underdoped cuprates fluctuations of the phase of the superconducting order
parameter play a role due to the small superfluid density. We consider the
effects of phase fluctuations assuming the exchange of spin fluctuations to be
the predominant pairing interaction. Spin fluctuations are treated in the
fluctuation-exchange approximation, while phase fluctuations are included by
Berezinskii-Kosterlitz-Thouless theory. We calculate the stiffness against
phase fluctuations, ns(omega)/m*, as a function of doping, temperature, and
frequency, taking its renormalization by phase fluctuations into account. The
results are compared with recent measurements of the high-frequency
conductivity. Furthermore, we obtain the temperature T*, where the density of
states at the Fermi energy starts to be suppressed, the temperature Tc*, where
Cooper pairs form, and the superconducting transition temperature Tc, where
their phase becomes coherent. We find a crossover from a
phase-fluctuation-dominated regime with Tc proportinal to ns for underdoped
cuprates to a BCS-like regime for overdoped materials.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 12:33:10 GMT""}]","2009-11-07"
