"astro-ph/0202443","Ersin Gogus","Richard Lieu (University of Alabama in Huntsville)","The effect of Planck scale space time fluctuations on Lorentz invariance
  at extreme speeds","Accepted by Astrophysical Journal Letters","Astrophys.J. 568 (2002) L67-L70","10.1086/340377",,"astro-ph gr-qc hep-ex hep-ph hep-th math-ph math.MP",,"  The starting point of this work is the axiomatic existence of a smallest
measurable interval, viz. the Planck time $t_P$, set by quantum fluctuations in
the vacuum metric tensor. By the Relativity Principle, the same limit must then
apply to the accuracy of all clocks which register time of events in their own
frames. Further, it implies that the ordinary meaning of distance also ceases
in the same manner beyond a scale l_P = c t_P. We demonstrate that quantum
space-time, if real, may be made manifest by observing very energetic
collisions, defined as interactions which occurred with the center-of-mass
frame $\Sigma'$ (of the participating bodies) moving at a high speed $v$
relative to our laboratory frame $\Sigma$. In such situations, the initial
conditions of the interaction are determined from direct measurements of the
ultra-energetic particles or photons by instruments aboard $\Sigma$: they
gather a raw dataset ${\cal S}$ which are subject to the limiting uncertainties
\~ (t_P, l_P). Yet a meaningful (i.e. experimentally verified) version of the
interaction is one where the interaction is viewed from frame $\Sigma'$. Since
no instruments aboard $\Sigma'$ have taken any data, the way we proceeded is by
a Lorentz transformation of ${\cal S}$ from $\Sigma$ to $\Sigma'$. Beware
however that the resulting ${\cal S'}$ no longer consists of raw data, i.e.
Lorentz distortions of probability distributions render the uncertainties
non-Planckian - in fact, it will be shown that as v -> c they are >> (t_P,
l_P), and are no longer negligible. Examples will given to indicate how a
proper interpretation of the most current high energy cosmic and gamma-ray data
necessitates incorporation of the said effect.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:18:08 GMT""},{""version"":""v2"",""created"":""Tue, 26 Feb 2002 02:55:04 GMT""}]","2009-11-07"
"astro-ph/0202484","Masahiro Kawasaki","Masahiro Kawasaki (ISAS), Masanobu Ozaki (ISAS), Fumiaki Nagase
  (ISAS), Kuniaki Masai (Tokyo-Metro Univ.), Manabu Ishida (Tokyo-Metro Univ.),
  Robert Petre (GSFC)","ASCA Observations of the Supernova Remnant IC 443: Thermal Structure and
  Detection of Overionized Plasma","11 pages, 15 figures, 2 tables, accepted for publication in The
  Astrophysical Journal",,"10.1086/340383",,"astro-ph",,"  We present the results of X-ray spatial and spectral studies of the
``mixed-morphology'' supernova remnant IC 443 using ASCA. IC 443 has a
center-filled image in X-ray band, contrasting with the shell-like appearance
in radio and optical bands. The overall X-ray emission is thermal, not from a
synchrotron nebula. ASCA observed IC 443 three times, covering the whole
remnant. From the image analysis, we found that the softness-ratio map reveals
a shell-like structure. At the same time, its spectra require two (1.0 keV and
0.2 keV) plasma components; the emission of the 0.2 keV plasma is stronger in
the region near the shell than the center. These results can be explained by a
simple model that IC 443 has a hot (1.0 keV) interior surrounded by a cool (0.2
keV) outer shell. From the emission measures, we infer that the 0.2 keV plasma
is denser than the 1.0 keV plasma, suggesting pressure equilibrium between the
two. In addition, we found that the ionization temperature of sulfur, obtained
from H-like K$\alpha$ to He-like K$\alpha$ intensity ratio, is 1.5 keV,
significantly higher than the gas temperature of 1.0 keV suggested from the
continuum spectrum. The same can be concluded for silicon. Neither an
additional, hotter plasma component nor a multi-temperature plasma successfully
accounts for this ratio, and we conclude that the 1.0 keV plasma is
overionized. This is the first time that overionized gas has been detected in a
SNR. For the gas to become overionized in the absence of a photoionizing flux,
it must cool faster than the ions recombine. Thermal conduction from the 1.0
keV plasma to the 0.2 keV one could cause the 1.0 keV plasma to become
overionized, which is plausible within an old (3$\times10^4$ yr) SNR.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 14:34:39 GMT""}]","2009-11-07"
"astro-ph/0202485","John C. Helly","John C. Helly, Shaun Cole, Carlos S. Frenk, Carlton M. Baugh, Andrew
  Benson, Cedric Lacey, Frazer R. Pearce","A Comparison of Gas Dynamics in SPH and Semi-analytic Models of Galaxy
  Formation","14 pages, 9 figures, accepted by MNRAS. This paper was split at the
  referees request - the semi-analytic methods used here are now described in a
  separate paper, astro-ph/0210141",,"10.1046/j.1365-8711.2003.06152.x",,"astro-ph",,"  We compare the results of two techniques used to calculate the evolution of
cooling gas during galaxy formation: Smooth Particle Hydrodynamics (SPH)
simulations and semi-analytic modelling. We improve upon the earlier
statistical comparison of Benson et al. by taking halo merger histories from
the dark matter component of the SPH simulation, which allows us to compare the
evolution of galaxies on an object-by-object basis in the two treatments. We
use a ``stripped-down'' version of the semi-analytic model described by Helly
et al. which includes only shock heating and radiative cooling of gas and which
is adjusted to mimic the resolution and other parameters of a comparison SPH
simulation as closely as possible. We compare the total mass of gas that cools
in halos of different mass as a function of redshift as well as the masses and
spatial distribution of individual ``galaxies.'' At redshift z=0, the cooled
gas mass in well-resolved halos agrees remarkably well (to better than ~20%) in
the SPH simulation and stripped-down semi-analytic model. At high redshift,
resolution effects in the simulation become increasingly important and, as a
result, more gas tends to cool in low mass halos in the SPH simulation than in
the semi-analytic model. The cold gas mass function of individual galaxies in
the two treatments at z=0 also agrees very well and, when the effects of
mergers are accounted for, the masses of individual galaxies and their 2-point
correlation functions are also in excellent agreement in the two treatments.
Thus, our comparison confirms and extends the earlier conclusion of Benson et
al. that SPH simulations and semi-analytic models give consistent results for
the evolution of cooling galactic gas.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 15:44:59 GMT""},{""version"":""v2"",""created"":""Mon, 7 Oct 2002 16:13:14 GMT""}]","2009-11-07"
"cond-mat/0202412","J. Perez-Conde","J. Perez-Conde (1), A. K. Bhattacharjee (2) ((1) Universidad Publica
  de Navarra, Pamplona, Spain, (2) Laboratoire de Physique des Solides, Orsay,
  France)","CdS/HgS/CdS Quantum Dot Quantum Wells: A Tight-binding Study","4 pages, 2 figures","phys. stat. sol. (b) 229, 485 (2002)","10.1002/1521-3951(200201)229:1<485::AID-PSSB485>3.0.CO;2-4",,"cond-mat.mes-hall",,"  We study the electronic properties of spherical quantum dot quantum well
nanocrystals within a symmetry-based tight-binding model. In particular, the
influence of a concentric monolayer of HgS embedded in a spherical CdS
nanocrystal of diameter 52.7 A is analyzed as a function of its distance from
the center. The electron and hole states around the energy gap show a strong
localization in the HgS well and the neighboring inner (core) interface region.
Important effects on the optical properties such as the absorption gap and the
fine structure of the exciton spectrum are also reported.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:28:38 GMT""}]","2015-06-24"
"cond-mat/0202414","Qimiao Si","Qimiao Si, Silvio Rabello, Kevin Ingersent, and Lleweilun Smith","Local fluctuations in quantum critical metals","20 pages, 12 figures; typos in figure 3 and in the main text
  corrected, version as published","Phys. Rev. B 68, 115103 (2003)","10.1103/PhysRevB.68.115103",,"cond-mat.str-el",,"  We show that spatially local, yet low-energy, fluctuations can play an
essential role in the physics of strongly correlated electron systems tuned to
a quantum critical point. A detailed microscopic analysis of the Kondo lattice
model is carried out within an extended dynamical mean-field approach. The
correlation functions for the lattice model are calculated through a
self-consistent Bose-Fermi Kondo problem, in which a local moment is coupled
both to a fermionic bath and to a bosonic bath (a fluctuating magnetic field).
A renormalization-group treatment of this impurity problem--perturbative in
$\epsilon=1-\gamma$, where $\gamma$ is an exponent characterizing the spectrum
of the bosonic bath--shows that competition between the two couplings can drive
the local-moment fluctuations critical. As a result, two distinct types of
quantum critical point emerge in the Kondo lattice, one being of the usual
spin-density-wave type, the other ``locally critical.'' Near the locally
critical point, the dynamical spin susceptibility exhibits $\omega/T$ scaling
with a fractional exponent. While the spin-density-wave critical point is
Gaussian, the locally critical point is an interacting fixed point at which
long-wavelength and spatially local critical modes coexist. A Ginzburg-Landau
description for the locally critical point is discussed. It is argued that
these results are robust, that local criticality provides a natural description
of the quantum critical behavior seen in a number of heavy-fermion metals, and
that this picture may also be relevant to other strongly correlated metals.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:54:27 GMT""},{""version"":""v2"",""created"":""Mon, 4 Mar 2002 20:32:11 GMT""},{""version"":""v3"",""created"":""Thu, 19 Jun 2003 18:50:45 GMT""},{""version"":""v4"",""created"":""Tue, 16 Sep 2003 16:05:54 GMT""}]","2009-11-07"
"cond-mat/0202416","J. Kaupuzs","J. Kaupuzs","Longitudinal and transverse Greens functions in phi^4 model below and
  near the critical point","The paper has been completed by a wider discussion of literature
  (Sec.9.1), as well as by Monte Carlo simulations (Sec.10). Now are 32 pages
  and 2 figures",,,,"cond-mat.stat-mech",,"  We have extended our method of grouping of Feynman diagrams (GFD theory) to
study the transverse (G_t) and longitudinal (G_l) Greens functions in phi^4
model below the critical point (T<T_c) in presence of an infinitesimal external
field. Our method allows a qualitative analysis not cutting the perturbation
series. We have shown that the critical behavior of the Greens (correlation)
functions is consistent with a general scaling hypothesis, where the same
critical exponents, found within the GFD theory, are valid both at T<T_c and
T>T_c. The long-wave limit k->0 has been studied at T<T_c, showing that the
transverse and the longitudinal correlation functions diverge as 1/k in the
power of lambda_t and lambda_l, respectively, where d/2< lambda_t < 2 and
lambda_l = 2 lambda_t - d holds at the spatial dimensionality 2<d<4. It is the
physical solution of our equations, which coincides with the asymptotic
solution at T -> T_c as well as with a non-perturbative renormalization group
(RG) analysis provided in our paper. It is confirmed also by Monte Carlo
simulation. The exponents, as well as the ratio bM^2/a^2 (where M is
magnetization, a and b are the amplitudes of G_t and G_l at k->0) are
universal. The results of the perturbative RG method are reproduced by formally
setting lambda_t=2. Nevertheless, we disprove the conventional statement that
lambda_t=2 is the exact result.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:44:02 GMT""},{""version"":""v2"",""created"":""Tue, 9 Apr 2002 19:19:39 GMT""},{""version"":""v3"",""created"":""Tue, 16 Apr 2002 16:36:57 GMT""},{""version"":""v4"",""created"":""Tue, 29 Jun 2004 17:48:28 GMT""}]","2007-05-23"
"cond-mat/0202425","Olivier Parcollet","O. Parcollet and C. Hooley","On the perturbative expansion of the magnetization in the
  out-of-equilibrium Kondo model","Minor corrections forgotten in v2","Phys. Rev. B 66, 085315 (2002)","10.1103/PhysRevB.66.085315",,"cond-mat.str-el",,"  This paper is concerned with the out-of-equilibrium two-lead Kondo model,
considered as a model of a quantum dot in the Kondo regime. We revisit the
perturbative expansion of the dot's magnetization, and conclude that, even at
order 0 in the Kondo interactions, the magnetization is not given by the usual
equilibrium result. We use the Schwinger-Keldysh method to derive a Dyson
equation describing the steady state induced by the voltage between the two
leads, and thus present the correct procedure for calculating perturbative
expansions of steady-state properties of the system.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 17:16:05 GMT""},{""version"":""v2"",""created"":""Thu, 2 May 2002 09:42:04 GMT""},{""version"":""v3"",""created"":""Tue, 21 May 2002 13:20:07 GMT""}]","2009-11-07"
"cond-mat/0202448","Tsampikos Kottos","A. Ossipov, Tsampikos Kottos, and T. Geisel (MPI fuer
  Stromungsforschung, Goettingen)","Signatures of Prelocalized States in Classically Chaotic Systems","4 pages, 4 eps figures","Phys. Rev. E 65, 055209 (2002)","10.1103/PhysRevE.65.055209",,"cond-mat.mes-hall nlin.CD",,"  We investigate the statistics of eigenfunction intensities ${\cal
P}(|\psi|^2)$ in dynamical systems with classical chaotic diffusion. Our
results contradict some recent theoretical considerations which challenge the
applicability of field theoretical predictions, derived in a different
framework for diffusive disordered samples. For two-dimensional systems, the
tails of ${\cal P}(|\psi|^2)$ contradict the results of the optimal fluctuation
method, but agree very well with the predictions of the non-linear
$\sigma-$model.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:01:47 GMT""}]","2009-11-07"
"cond-mat/0202449","Myung-Hwa Jung","M. H. Jung, I. H. Inoue, H. Nakotte, and A. H. Lacerda","High-Field Properties of Single-Crystalline Cavo3","10 pages, including 3 figures",,"10.1142/9789812777805_0035",,"cond-mat.str-el cond-mat.mtrl-sci",,"  The magnetic properties of perovskite CaVO3 single crystals have been studied
by means of magnetoresistance r(T, H) and magnetization M(H) measurements in
fields to 18T. At 2 K, the magnetoresistance is positive and a maximum value of
Dr(18T)/r(0) = 16.5% is found for H//a. The magnetization exhibits a smooth
increase at 2 K, reaching values of M(18T) = 0.03, 0.05, 0.17 mB/f.u. for H//a,
H//b, and H//c, respectively. This anisotropy found in M(H) is consistent with
that observed for Dr(H//a) > Dr(H//b) > Dr(H//c). These results can be
interpreted in terms of the field-dependent scattering mechanism of CaVO3.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 17:04:03 GMT""}]","2017-08-23"
"cond-mat/0202450","Anjan K. Gupta","Anjan K. Gupta and K. -W. Ng","Non-conservation of Density of States in Bi$_2$Sr$_2$CaCu$_2$O$_y$:
  Coexistence of Pseudogap and Superconducting gap","5 pages, 4 figures",,"10.1209/epl/i2002-00456-2",,"cond-mat.supr-con cond-mat.str-el",,"  The tunneling spectra obtained within the ab-plane of
Bi$_2$Sr$_2$CaCu$_2$O$_y$ (Bi2212) for temperatures below and above the
critical temperature (T$_c$) are analyzed. We find that the tunneling
conductance spectra for the underdoped compound in the superconducting state do
not follow the conservation of states rule. There is a consistent loss of
states for the underdoped BI2212 implying an underlying depression in the
density of states (DOS) and hence the pseudogap near the Fermi energy (E$_F$).
Such an underlying depression can also explain the peak-dip-hump structure
observed in the spectra. Furthermore, the conservation of states is recovered
and the dip-hump structure disappears after normalizing the low temperature
spectra with that of the normal state. We argue that this is a direct evidence
for the coexistence of a pseudogap with the superconducting gap.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 17:05:02 GMT""}]","2009-11-07"
"cond-mat/0202451","Myung-Hwa Jung","H. J. Im, Y. S. Kwon, and M. H. Jung","Electrical and magnetic properties of the new Kondo-lattice compound
  Ce3Pd4Ge4","9 pages, including 3 figures",,"10.1016/S0038-1098(02)00504-5",,"cond-mat.str-el",,"  We have measured the electric resistivity, magnetoresistance, magnetic
susceptibility and magnetization of the new Kondo-lattice compound Ce3Pd4Ge4.
The electrical resistivity exhibits a rapid drop at temperatures below 6 K,
while the magnetic susceptibility does not show any corresponding anomaly at
that temperature. This phenomenon is similar to that of Ce3Pd20Ge6 which shows
quadrupolar interation. We suggest that there is the possibility of quadrupolar
interaction in the orthorhombic 4f-electron system Ce3Pd4Ge4. In addition, it
is realized that the spin-dependent scattering effect is responsible for the
magnetotransport.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 17:15:22 GMT""}]","2009-11-07"
"cond-mat/0202452","Kai Dieckmann","S. Gupta, K. Dieckmann, Z. Hadzibabic, and D. E. Pritchard
  (Massachusetts Institute of Technology)","Contrast Interferometry Using Bose-Einstein Condensates to Measure h/m
  and the Fine Structure Constant",,"Phys. Rev. Lett. 89, 140401 (2002)","10.1103/PhysRevLett.89.140401",,"cond-mat physics.atom-ph",,"  The kinetic energy of an atom recoiling due to absorption of a photon was
measured as a frequency using an interferometric technique called ``contrast
interferometry''. Optical standing wave pulses were used as atom-optical
elements to create a symmetric three-path interferometer with a Bose-Einstein
condensate. The recoil phase accumulated in different paths was measured using
a single-shot detection technique. The scheme allows for additional photon
recoils within the interferometer and its symmetry suppresses several random
and systematic errors including those from vibrations and ac Stark shifts. We
have measured the photon recoil frequency of sodium to $7 $ppm precision, using
a simple realization of this scheme. Plausible extensions should yield a
sufficient precision to bring within reach a ppb-level determination of $h/m$
and the fine structure constant $\alpha$.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:20:04 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jul 2002 03:46:35 GMT""}]","2009-11-07"
"cond-mat/0202453","Swati Malhotra","Y. Alhassid and S. Malhotra","Spin and interaction effects in quantum dots: a Hartree-Fock-Koopmans
  approach","5 pages, 4 eps figures, revised","Phys. Rev. B 66 (2002) 245313","10.1103/PhysRevB.66.245313",,"cond-mat.mes-hall cond-mat.str-el nlin.CD",,"  We use a Hartree-Fock-Koopmans approach to study spin and interaction effects
in a diffusive or chaotic quantum dot. In particular, we derive the statistics
of the spacings between successive Coulomb-blockade peaks. We include
fluctuations of the matrix elements of the two-body screened interaction,
surface-charge potential, and confining potential to leading order in the
inverse Thouless conductance. The calculated peak-spacing distribution is
compared with experimental results.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:40:49 GMT""},{""version"":""v2"",""created"":""Thu, 14 Nov 2002 16:09:36 GMT""}]","2009-11-07"
"cond-mat/0202454","David Vanderbilt","Xinyuan Zhao and David Vanderbilt (Department of Physics and
  Astronomy, Rutgers University)","First-principles study of structural, vibrational and lattice dielectric
  properties of hafnium oxide","4 pages, with 1 postscript figure embedded. Uses REVTEX and epsf
  macros. Also available at
  http://www.physics.rutgers.edu/~dhv/preprints/zhao_hfo2/index.html",,"10.1103/PhysRevB.65.233106",,"cond-mat.mtrl-sci",,"  Crystalline structures, zone-center phonon modes, and the related dielectric
response of the three low-pressure phases of HfO2 have been investigated in
density-functional theory using ultrasoft pseudopotentials and a plane-wave
basis. The structures of low-pressure HfO2 polymorphs are carefully studied
with both the local-density approximation (LDA) and the generalized gradient
approximation (GGA). The fully relaxed structures obtained with either
exchange-correlation scheme agree reasonably well with experiment, although LDA
yields better overall agreement. After calculating the Born effective charge
tensors and the force-constant matrices by finite-difference methods, the
lattice dielectric susceptibility tensors for the three HfO2 phases are
computed by decomposing the tensors into the contributions from individual
infrared-active phonon modes.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 22:02:07 GMT""}]","2009-11-07"
"cond-mat/0202455","Dmitry Green","Dmitry Green","Strongly Correlated States in Low Dimensions (Thesis)","Chapters 5,6 published. Chapters 2,3,4 to be published in revised
  form. 135 pages including 20 figures","N. Read and D. Green PRB 61, 10267 (2000); D. Green and C. Chamon,
  PRL 85, 4128 (2000)",,,"cond-mat.str-el cond-mat.mes-hall",,"  This thesis is a theoretical analysis of sample two- and one-dimensional
systems. The two-dimensional examples are the quantum Hall liquid and anomalous
paired states. The most widely accepted effective theory of the quantum Hall
liquid is based on the so-called Chern Simons Lagrangian, but it is not
entirely satisfactory. We obtain the first derivation of an alternative
effective theory from microscopic principles. Our formulation allows for a
first principles derivation of physical quantities such as the effective mass
and compressibility and contains the first analytical observation of the
magnetoroton. The formalism developed along the way is also applied to paired
states in anomalous supeconductors, a topic of much recent interest. The
one-dimenisonal system is the carbon nanotube. Gas uptake in nanotube bundles
is currently attracting a wealth of research with both applied and fundamental
implications. We propose adsorption of gases on the surface of a single tube,
finding strong correlations and symmetries that have not been observed yet. The
properties of these states are directly relevant to other one-dimensional
structures such as spin ladders and stripes and raise interesting and open
questions.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 15:28:46 GMT""}]","2007-05-23"
"cond-mat/0202456","Michael","Jeong-Man Park and Michael W. Deem","A Statistical Theory of Isotropic Turbulence Well-Defined within the
  Context of the $\epsilon$ Expansion","16 pages, 2 figures, 4 tables",,"10.1140/epjb/e2003-00201-9",,"cond-mat.stat-mech",,"  A new statistical field-theory model of isotropic turbulence is introduced.
The model renormalizes the effects of turbulent stresses into a
velocity-gradient-dependent random force. The model is well-defined within the
context of the renormalization group $\epsilon$ expansion, as the effective
expansion parameter is $O(\epsilon)$. The Kolmogorov constant and $N$ parameter
of turbulence are of order unity, in accord with experimental results.
Nontrivial intermittency corrections to the single-time structure functions are
calculated as a controlled expansion in $\epsilon$.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 23:53:53 GMT""},{""version"":""v2"",""created"":""Mon, 19 May 2003 20:42:59 GMT""}]","2009-11-07"
"cond-mat/0202457","Jai Seok Ahn","J. S. Ahn, E. S. Choi, W. Kang, D. J. Singh, and E. J. Choi","Thermoelectric power of MgB$_{2-x}$Be$_x$","4 pages, 4 figures",,"10.1103/PhysRevB.65.214534",,"cond-mat.supr-con cond-mat.mtrl-sci",,"  We investigated thermoelectric power $S(T)$ of MgB$_{2-x}$Be$_{x}$ ($x=0$,
0.2, 0.3, 0.4, and 0.6). $S(T)$ decreases systematically with $x$, suggesting
that the hole density increases. Our band calculation shows that the increase
occurs in the $\sigma $-band. With the hole-doping, $T_{c}$ decreases.
Implication of this phenomenon is discussed within the BCS framework. While the
Mott formula explains only the linear part of $S(T)$ at low temperature,
incorporation of electron-phonon interaction enables us to explain $S(T)$ over
wide temperature range including the anomalous behavior at high temperature.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 04:28:04 GMT""}]","2009-11-07"
"cond-mat/0202458","Kin Wah Yu","J. P. Huang, K. W. Yu (Chinese University of Hong Kong)","Dielectric behavior of oblate spheroidal particles: Application to
  erythrocytes suspensions","RevTex; 5 eps figures","Commun. Theor. Phys. 39, 506 (2003)","10.1088/0253-6102/39/4/506",,"cond-mat.soft cond-mat.mtrl-sci physics.bio-ph q-bio",,"  We have investigated the effect of particle shape on the eletrorotation (ER)
spectrum of living cells suspensions. In particular, we consider coated oblate
spheroidal particles and present a theoretical study of ER based on the
spectral representation theory. Analytic expressions for the characteristic
frequency as well as the dispersion strength can be obtained, thus simplifying
the fitting of experimental data on oblate spheroidal cells that abound in the
literature. From the theoretical analysis, we find that the cell shape, coating
as well as material parameters can change the ER spectrum. We demonstrate good
agreement between our theoretical predictions and experimental data on human
erthrocytes suspensions.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 05:51:20 GMT""}]","2018-01-17"
"cond-mat/0202459","Keshav N. Shrivastava","Keshav N. Shrivastava","Cyclotron Resonance of Composite Fermions: Quantum Hall Effect","5 pages TeX",,,,"cond-mat.mes-hall cond-mat.stat-mech",,"  We have examined the claim made by Kukushkin et al that they have observed
the cyclotron resonance of composite fermions. We find that the claim made is
false and there is no justification for making false reports. The microwave
absorption in cyclotron levels is observed and it is claimed that CF has been
seen. Since ""even flux quanta attachment to one electron"" has not been seen, we
find that Kukushkin's claim to have seen the CF is false. Since attachment of
flux quanta to electrons can be an important discovery, Kukushkin et al have
made the claim of seeing the CF without actually identifying them. The data can
be interpreted without attaching flux quanta to the electrons.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 06:26:57 GMT""}]","2007-05-23"
"cond-mat/0202460","Gert-Ludwig Ingold","Hermann Grabert (1), Gert-Ludwig Ingold (2) ((1) U Freiburg, (2) U
  Augsburg)","Identification of Coulomb blockade and macroscopic quantum tunneling by
  noise","6 pages, 3 figures, epl.cls included","Europhys. Lett. 58, 429 (2002)","10.1209/epl/i2002-00657-1",,"cond-mat.mes-hall cond-mat.supr-con",,"  The effects of Macroscopic Quantum Tunneling (MQT) and Coulomb Blockade (CB)
in Josephson junctions are of considerable significance both for the
manifestations of quantum mechanics on the macroscopic scale and potential
technological applications. These two complementary effects are shown to be
clearly distinguishable from the associated noise spectra. The current noise is
determined exactly and a rather sharp crossover between flux noise in the MQT
and charge noise in the CB regions is found as the applied voltage is changed.
Related results hold for the voltage noise in current-biased junctions.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 06:59:20 GMT""}]","2007-05-23"
"cond-mat/0202461","Gyorgy Szabo","Gyorgy Szabo, Hajnalka Gergely, and Beata Oborny","Generalized contact process on random environments","6 pages, 7 figures","Phys. Rev. E, 65 (2002) 066111.","10.1103/PhysRevE.65.066111",,"cond-mat.dis-nn",,"  Spreading from a seed is studied by Monte Carlo simulation on a square
lattice with two types of sites affecting the rates of birth and death. These
systems exhibit a critical transition between survival and extinction. For
time- dependent background, this transition is equivalent to those found in
homogeneous systems (i.e. to directed percolation). For frozen backgrounds, the
appearance of Griffiths phase prevents the accurate analysis of this
transition. For long times in the subcritical region, spreading remains
localized in compact (rather than ramified) patches, and the average number of
occupied sites increases logarithmically in the surviving trials.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 08:08:27 GMT""}]","2009-11-07"
"cond-mat/0202462","Hongwei Xiong","Hongwei Xiong, Shujuan Liu, Guoxiang Huang","Phase diffusion of Bose-Einstein Condensation close to zero temperature","RevTex, 5 pages, hongweixiong@hotmail.com; This is the final version
  of the paper which has been accepted for publication in Physics Letters A","Physics Letter A 301 (2002) 203-209","10.1016/S0375-9601(02)00979-9",,"cond-mat.soft cond-mat.mes-hall",,"  The correlation function of the quantum fluctuations due to collective
excitations is calculated and used to investigate the phase diffusion of a
Bose-Einstein condensate close to zero temperature. It is shown that the phase
diffusion time of the condensate is much longer than the result obtained by
assuming that the correlation time of the quantum fluctuations is infinity.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 09:10:14 GMT""},{""version"":""v2"",""created"":""Thu, 16 May 2002 11:50:59 GMT""},{""version"":""v3"",""created"":""Thu, 18 Jul 2002 07:00:40 GMT""}]","2015-06-24"
"cond-mat/0202463","P. Garbaczewski","R. Czopnik and P. Garbaczewski","Frictionless Random Dynamics: Hydrodynamical Formalism","Physica A 317, (2003), 449-471","Physica A 317, (2003), 449-471","10.1016/S0378-4371(02)01343-2",,"cond-mat.stat-mech",,"  We investigate an undamped random phase-space dynamics in deterministic
external force fields (conservative and magnetic ones). By employing the
hydrodynamical formalism for those stochastic processes we analyze microscopic
kinetic-type ""collision invariants"" and their relationship to local
conservation laws (moment equations) in the fully nonequlibrium context. We
address an issue of the continual heat absorption (particles ""energization"") in
the course of the process and its possible physical implementations.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 08:50:22 GMT""},{""version"":""v2"",""created"":""Mon, 10 Jun 2002 13:45:13 GMT""},{""version"":""v3"",""created"":""Mon, 8 Jul 2002 09:45:19 GMT""},{""version"":""v4"",""created"":""Tue, 1 Jul 2003 08:47:44 GMT""}]","2009-11-07"
"cond-mat/0202464","Judit Balogh","J. Balogh, M. Csontos, D. Kaptas and G. Mihaly","Enhanced Granular Magnetoresistance due to Ferromagnetic Layers","4 pages, 3 figures, submitted to Applied Physics Letters",,"10.1016/S0038-1098(03)00214-X",,"cond-mat.mtrl-sci",,"  Giant magnetoresistance (GMR) of sequentially evaporated Fe-Ag structures
have been investigated. Direct experimental evidence is given that inserting
ferromagnetic layers into a granular structure significantly enhances the
magnetoresistance. The increase of the GMR effect is attributed to spin
polarization effects. The large enhancement (up to more than a fourfold value)
and the linear variation of the GMR in low magnetic fields are explained by
scattering of the spin polarized conduction electrons on paramagnetic grains.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 09:41:23 GMT""}]","2009-11-07"
"cond-mat/0202465","Jean-Marc Luck","G. De Smedt, C. Godreche, and J.M. Luck","Jamming, freezing and metastability in one-dimensional spin systems","38 pages, 8 figures, 1 table. Stylistic changes. A few references
  added. To appear in EPJB","Eur. Phys. J. B 27, 363-380 (2002)","10.1140/epjb/e2002-00167-0",,"cond-mat.stat-mech",,"  We consider in parallel three one-dimensional spin models with kinetic
constraints: the paramagnetic constrained Ising chain, the ferromagnetic Ising
chain with constrained Glauber dynamics, and the same chain with constrained
Kawasaki dynamics. At zero temperature the dynamics of these models is fully
irreversible, leading to an exponentially large number of blocked states. Using
a mapping of these spin systems onto sequential adsorption models of,
respectively, monomers, dimers, and hollow trimers, we present exact results on
the statistics of blocked states. We determine the distribution of their energy
or magnetization, and in particular the large-deviation function describing its
exponentially small tails. The spin and energy correlation functions are also
determined. The comparison with an approach based on a priori statistics
reveals systematic discrepancies with the Edwards hypothesis, concerning in
particular the fall-off of correlations.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 09:44:12 GMT""},{""version"":""v2"",""created"":""Tue, 9 Apr 2002 07:48:02 GMT""}]","2009-11-07"
