"astro-ph/0211036","Vishwakarma R. G.","J.V. Narlikar, R.G. Vishwakarma, Amir Hajian, Tarun Souradeep, G.
  Burbidge and F. Hoyle","Inhomogeneities in the Microwave Background Radiation interpreted within
  the framework of the Quasi-Steady State Cosmology","27 pages, including 5 figures; to appear in Astrophys. J","Astrophys.J. 585 (2003) 1-11","10.1086/345928",,"astro-ph gr-qc hep-th",,"  We calculate the expected angular power spectrum of the temperature
fluctuations in the microwave background radiation (MBR) generated in the
quasi-steady state cosmology (QSSC). The paper begins with a brief description
of how the background is produced and thermalized in the QSSC. We then discuss
within the framework of a simple model, the likely sources of fluctuations in
the background due to astrophysical and cosmological causes. Power spectrum
peaks at $l \approx 6-10$, 180-220 and 600-900 are shown to be related in this
cosmology respectively to curvature effects at the last minimum of the scale
factor, clusters and groups of galaxies. The effect of clusters is shown to be
related to their distribution in space as indicated by a toy model of structure
formation in the QSSC. We derive and parameterize the angular power spectrum
using six parameters related to the sources of temperature fluctuations at
three characteristic scales. We are able to obtain a satisfactory fit to the
observational band power estimates of MBR temperature fluctuation spectrum.
Moreover, the values of `best fit' parameters are consistent with the range of
expected values.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 04:41:55 GMT""}]","2009-11-07"
"astro-ph/0211047","Dougal Mackey","A.D. Mackey and G.F. Gilmore (IoA, Cambridge, UK)","Dynamical Evolution of Globular Clusters in the Magellanic Clouds and
  Other Local Systems","2 pages, 2 figures, to be published in ``New Horizons in Globular
  Cluster Astronomy'', ASP Conference Series, 2002, eds. G. Piotto, G. Meylan,
  G. Djorgovski, M. Riello",,,,"astro-ph",,"  Observations of rich LMC and SMC clusters reveal an increasing spread in core
radius with age. This trend likely represents real physical evolution in these
systems. Old Magellanic Cloud clusters appear either extended or compact.
Similar core radius distributions are observed for the Fornax and Sagittarius
dSph cluster systems and in the ``young'' halo Milky Way subsystem. These
observations have implications for both the formation of the Galaxy and the
dynamical evolution of globular clusters.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:20:04 GMT""}]","2007-05-23"
"astro-ph/0211048","Dimitri Pourbaix","I. Platais, D. Pourbaix, A. Jorissen, V.V. Makarov, L.N. Berdnikov,
  N.N. Samus, T. Lloyd Evans, T. Lebzelter, J. Sperauskas","Hipparcos red stars in the HpV_{T2} and VI_C systems","10 figures, 1 electronic table, accepted in A&A","Astron.Astrophys. 397 (2003) 997-1010","10.1051/0004-6361:20021589",,"astro-ph",,"  For Hipparcos M, S, and C spectral type stars, we provide calibrated
instantaneous (epoch) Cousins $V-I$ color indices using newly derived
$HpV_{T2}$ photometry. Three new sets of ground-based Cousins $VI$ data have
been obtained for more than 170 carbon and red M giants. These datasets in
combination with the published sources of $VI$ photometry served to obtain the
calibration curves linking Hipparcos/Tycho $Hp-V_{T2}$ with the Cousins $V-I$
index. In total, 321 carbon stars and 4464 M- and S-type stars have new $V-I$
indices. The standard error of the mean $V-I$ is about 0.1 mag or better down
to $Hp\approx9$ although it deteriorates rapidly at fainter magnitudes. These
$V-I$ indices can be used to verify the published Hipparcos $V-I$ color
indices. Thus, we have identified a handful of new cases where, instead of the
real target, a random field star has been observed. A considerable fraction of
the DMSA/C and DMSA/V solutions for red stars appear not to be warranted. Most
likely such spurious solutions may originate from usage of a heavily biased
color in the astrometric processing.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:43:28 GMT""}]","2009-11-07"
"astro-ph/0211049","Eric Feigelson","Eric D. Feigelson (PSU), James A. Gaffney III (PSU), Gordon Garmire
  (PSU), Lynne A. Hillenbrand (CalTech) and Leisa Townsley (PSU)","X-rays in the Orion Nebula Cluster: Constraints on the origins of
  magnetic activity in pre-main sequence stars","51 pages, 8 figures. To appear in the Astrophysical Journal","Astrophys.J. 584 (2003) 911-930","10.1086/345811",,"astro-ph",,"  A recent Chandra/ACIS observation of the Orion Nebula Cluster detected 1075
sources (Feigelson et al. 2002), providing a uniquely large and well-defined
sample to study the dependence of magnetic activity on bulk properties for
stars descending the Hayashi tracks. The following results are obtained: (1)
X-ray luminosities L_t in the 0.5-8 keV band are strongly correlated with
bolometric luminosity with <log L_t/L_bol> = -3.8 for stars with masses 0.7<M<2
Mo, an order of magnitude below the main sequence saturation level; (2) the
X-ray emission drops rapidly below this level in some or all stars with 2<M<3
Mo; (3) the presence or absence of infrared circumstellar disks has no apparent
relation to X-ray levels; and (4) X-ray luminosities exhibit a slight rise as
rotational periods increase from 0.4 to 20 days. This last finding stands in
dramatic contrast to the strong anticorrelation between X-rays and period seen
in main sequence stars.
  The absence of a strong X-ray/rotation relationship in PMS stars, and
particularly the high X-ray values seen in some very slowly rotating stars, is
a clear indication that the mechanisms of magnetic field generation differ from
those operating in main sequence stars. The most promising possibility is a
turbulent dynamo distributed throughout the deep convection zone, but other
models such as alpha-Omega dynamo with `supersaturation' or relic core fields
are not immediately excluded. The drop in magnetic activity in
intermediate-mass stars may reflect the presence of a significant radiative
core. The evidence does not support X-ray production in large-scale star-disk
magnetic fields.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:00:05 GMT""}]","2009-11-07"
"astro-ph/0211050","Sara Lucatello","Sara Lucatello (1,2), Raffaele Gratton (1), Judith G. Cohen (3),
  Timothy C. Beers (4), Norbert Christlieb (5), Eugenio Carretta (1) and
  Solange Ramirez (3) ((1) INAF - Osservatorio Astronomico di Padova, Italy,
  (2) Astronomy Department, University of Padova, (3) Palomar Observatory,
  Caltech, Pasadena, USA, (4) Dep. of Physics and Astronomy, Michigan State
  Univ., Michigan, USA, (5) Hamburger Sternwarte, Hamburg, Germany)","Stellar Archaeology: a Keck Pilot Program on Extremely Metal- Poor Stars
  From the Hamburg/ESO Survey. III. The Lead (Pb) Star HE 0024-2523","55 pages, 17 color figures included; Accepted for publication in the
  February 2003 issue of the Astronomical Journal",,"10.1086/345886",,"astro-ph",,"  We present a detailed abundance analysis, including spectral syntheses, of a
very metal-poor ([Fe/H]= -2.7), peculiar main sequence star, HE0024-2523
detected during the course of the Keck Pilot Program. Radial velocities of this
star were obtained during four different observing runs over a time span of 1.1
years, and demonstrate that it is clearly a short period spectroscopic binary.
An orbital solution was obtained, and orbital parameters were determined with
high precision. The rotational velocity was also measured (vsin i=9.7$\pm$1.5
kms); rotation appears likely to be synchronous with the orbit. The abundance
analysis and spectral syntheses indicate that the object is a CH star
characterized by extreme s-process enrichment, likely due to mass accretion
from an evolved companion which has now probably become a white dwarf. The lead
(Pb) abundance of HE0024-2523 is very high, the same as that of the recently
discovered lead-rich metal-poor star CS 29526-110, [Pb/Fe]=+3.3. The abundance
ratio of the heavy-s to light-s elements, as characterized by Pb and Ba,
[Pb/Ba]=+1.9, is the highest yet found for any metal-poor star, and is about
0.7 dex higher than that of CS29526-110. On the basis of the measured isotopic
ratio of carbon (12C/13C about 6) we argue that the mass donor must have had an
original mass of at least 3 Msun. The unusually short period of this CH star
suggests that it underwent a past common-envelope phase with its evolved
companion. Our results are compared to the latest available models for AGB
yields and s-process nucleosynthesis. We also discuss the possible connection
between HE0024-2523 the lithium depletion of halo stars, and halo blue
straggler formation.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:00:30 GMT""}]","2009-11-07"
"astro-ph/0211051","Vankov Hristofor Petrov","H.P. Vankov, N. Inoue, K. Shinozaki","Ultra-High Energy Gamma Rays in Geomagnetic Field and Atmosphere","27 pages, 12 figures, submitted to Phys.Rev.D","Phys.Rev. D67 (2003) 043002","10.1103/PhysRevD.67.043002",,"astro-ph",,"  The nature and origin of ultra-high energy (UHE: reffering to > 10^19 eV)
cosmic rays are great mysteries in modern astrophysics. The current theories
for their explanation include the so-called ""top-down"" decay scenarios whose
main signature is a large ratio of UHE gamma rays to protons. Important step in
determining the primary composition at ultra-high energies is the study of air
shower development. UHE gamma ray induced showers are affected by the
Landau-Pomeranchuk-Migdal (LPM) effect and the geomagnetic cascading process.
In this work extensive simulations have been carried out to study the
characteristics of air showers from UHE gamma rays. At energies above several
times 10^19 eV the shower is affected by geomagnetic cascading rather than by
the LPM effect. The properties of the longitudinal development such as average
depth of the shower maximum or its fluctuations depend strongly on both primary
energy and incident direction. This feature may provide a possible evidence of
the UHE gamma ray presence by fluorescence detectors.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:29:14 GMT""}]","2009-11-07"
"astro-ph/0211052","Aracil","Jacqueline Bergeron, Bastien Aracil, Patrick Petitjean and Christophe
  Pichon","The warm-hot intergalactic medium at z~2.2: Metal enrichment and
  ionization source","accepted by A&A Letters, 5 pages, 6 figures","Astron.Astrophys. 396 (2002) L11-L16","10.1051/0004-6361:20021611",,"astro-ph",,"  Results are presented for our search for warm-hot gas towards the quasar Q
0329-385. We identify ten OVI systems of which two are within 5000 km/s of z_em
and a third one should be of intrinsic origin. The seven remaining systems have
HI column densities 10^13.7<N(HI)<10^15.6 cm^-2. At least ~1/3 of the
individual OVI sub-systems have temperatures T<1x10^5 K and cannot originate in
collisionally ionized gas. Photoionization by a hard UV background field
reproduces well the ionic ratios for metallicities in the range 10^-2.5 -
10^-0.5 solar, with possibly sub-solar N/C relative abundance. For [O/C]=0, the
sizes inferred for the OVI clouds are in some cases larger than the maximum
extent implied by the Hubble flow. This constraint is fulfilled assuming a
moderate overabundance of oxygen relative to carbon. For a soft UV ionizing
spectrum, an overabundance of O/C is required, [O/C]~0.0-1.3. For a hard(soft)
UV spectrum and [O/C]=0(1), the OVI regions have overdensities in 10-40.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:48:12 GMT""}]","2009-11-07"
"astro-ph/0211053","Antonio Alfonso-Faus","Antonio Alfonso-Faus","Black Hole Entropy: Linear or Quadratic?","Presented at the Spanish ERE2002 Meeting; 4 pages",,,,"astro-ph",,"  The entropy S of any mass M can be interpreted as a linear relation with
mass, S of order kM/mg an extensive property with mg the mass of the quantum of
gravity. One can extend this relation to black holes and then we get a
different result, as compared with the ""standard"" relation S of order k/hc
GM^2, which is quadratic in the mass. We discuss both approaches and apply it
to cosmology.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:53:48 GMT""}]","2007-05-23"
"astro-ph/0211054","Dyadechkin Sergey","V.S. Semenov, S.A. Dyadechkin","Jet formation as a result of magnetic flux tube--Kerr black hole
  interaction","9 pages, 3 figures","``Problems of Geocosmos 4'', Eds. V.S. Semenov, A. M. Lyatskaya,
  M. V. Kubyshkina, H. K. Biernat, St. Petersburg Univ., pp. 265-269, 2002",,,"astro-ph",,"  Relativistic magnetohydrodynamics can be reformulated in terms of magnetic
flux tubes which turn out to obey equations of non-linear strings. The string
approach is applied to study how a test flux tube falls into a Kerr black hole.
Analytical treatment and numerical simulations show that the leading portion of
the falling tube loses angular momentum and energy as the string breaks, and to
compensate for this loss, momentum and energy has to be generated to conserve
energy and momentum for the tube. Inside the ergosphere the energy of the
leading part can be negative, and the rest of the tube then extracts energy
from the hole. Increasing centrifugal forces eject the part of the tube with
extra positive energy from the ergosphere after a time producing a relativistic
jet.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:38:17 GMT""}]","2007-05-23"
"astro-ph/0211055","Colin Frayn","C. M. Frayn, G. F. Gilmore","The Analysis of Isochrone Fitting Methods for Red Giant Branch
  Photometry, and Tip Red Giant Branch Distance Determination","11 pages, 17 postscript figures","Mon.Not.Roy.Astron.Soc. 339 (2003) 887","10.1046/j.1365-8711.2003.06250.x",,"astro-ph",,"  We consider the procedure of isochrone fitting and its application to the
study of red giant branch (RGB) photometry in old stellar populations. This is
extended to consider the problems introduced by the inclusion of
lower-magnitude regions of the Colour Magnitude Diagram (CMD). We refer
especially to our previous paper Frayn & Gilmore (2002), where the details of
our isochrone interpolation and fitting code are explained.
  We address the systematic errors inherent in the process of isochrone
fitting, and investigate the extent to which simple stellar populations can be
recovered from noisy photometric data. We investigate the effects caused by
inaccurate distance estimates, isochrone model variation and photometric
errors. We present results from two studies of approximately coeval stellar
populations, those of the Milky Way Globular Cluster System (MWGCS), and the
Ursa Minor dwarf spheroidal galaxy.
  In addition, we introduce a new method for estimating distances using
photometry of the tip of the RGB which is significantly more robust than the
standard edge-detection filter.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:23:18 GMT""}]","2009-11-07"
"astro-ph/0211056","Henry E. Kandrup","Henry E. Kandrup, Ileana M. Vass, and Ioannis V. Sideris","Transient chaos and resonant phase mixing in violent relaxation","11 pages and 12 figures: an extended version of the original
  manuscript, containing a modified title, one new figure, and approximately
  one page of additional text, to appear in Monthly Notices of the Royal
  Astronomical Society","Mon.Not.Roy.Astron.Soc. 341 (2003) 927-936","10.1046/j.1365-8711.2003.06466.x",,"astro-ph",,"  This paper explores how orbits in a galactic potential can be impacted by
large amplitude time-dependences of the form that one might associate with
galaxy or halo formation or strong encounters between pairs of galaxies. A
period of time-dependence with a strong, possibly damped, oscillatory component
can give rise to large amounts of transient chaos, and it is argued that
chaotic phase mixing associated with this transient chaos could play a major
role in accounting for the speed and efficiency of violent relaxation. Analysis
of simple toy models involving time-dependent perturbations of an integrable
Plummer potential indicates that this chaos results from a broad, possibly
generic, resonance between the frequencies of the orbits and harmonics thereof
and the frequencies of the time-dependent perturbation. Numerical computations
of orbits in potentials exhibiting damped oscillations suggest that, within a
period of 10 dynamical times t_D or so, one could achieve simultaneously both
`near-complete' chaotic phase mixing and a nearly time-independent, integrable
end state.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:02:23 GMT""},{""version"":""v2"",""created"":""Mon, 25 Nov 2002 16:18:32 GMT""},{""version"":""v3"",""created"":""Wed, 29 Jan 2003 20:37:17 GMT""}]","2009-11-07"
"astro-ph/0211057","Nils Andersson","N. Andersson","Gravitational waves from instabilities in relativistic stars","invited review article for Class Quantum Grav., 47 pages, 16 ps
  figures","Class.Quant.Grav. 20 (2003) R105","10.1088/0264-9381/20/7/201",,"astro-ph",,"  This article provides an overview of stellar instabilities as sources of
gravitational waves. The aim is to put recent work on secular and dynamical
instabilities in compact stars in context, and to summarize the current
thinking about the detectability of gravitational waves from various scenarios.
As a new generation of kilometer length interferometric detectors are now
coming online this is a highly topical theme. The review is motivated by two
key questions for future gravitational-wave astronomy: Are the gravitational
waves from various instabilities detectable? If so, what can these
gravitational-wave signals teach us about neutron star physics? Even though we
may not have clear answers to these questions, recent studies of the dynamical
bar-mode instability and the secular r-mode instability have provided new
insights into many of the difficult issues involved in modelling unstable stars
as gravitational-wave sources.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:12:19 GMT""}]","2017-08-23"
"astro-ph/0211058","Francesco Sylos Labini","Francesco Sylos Labini, Thierry Baertschiger, Andrea Gabrielli and
  Michael Joyce","Initial conditions, Discreteness and non-linear structure formation in
  cosmology","28 pages, 1 figure, to appear in Proceedings of 9th Course on
  Astrofundamental Physics, International School D. Chalonge, Kluwer, eds N.G.
  Sanchez and Y.M. Pariiski, uses crckapb.st pages, 3 figure, ro appear in
  Proceedings of 9th Course on Astrofundamental Physics, International School
  D. Chalonge, Kluwer, Eds. N.G. Sanchez and Y.M. Pariiski, uses crckapb.sty",,,,"astro-ph",,"  In this lecture we address three different but related aspects of the initial
continuous fluctuation field in standard cosmological models. Firstly we
discuss the properties of the so-called Harrison-Zeldovich like spectra. This
power spectrum is a fundamental feature of all current standard cosmological
models. In a simple classification of all stationary stochastic processes into
three categories, we highlight with the name ``super-homogeneous'' the
properties of the class to which models like this, with $P(0)=0$, belong. In
statistical physics language they are well described as glass-like. Secondly,
the initial continuous density field with such small amplitude correlated
Gaussian fluctuations must be discretised in order to set up the initial
particle distribution used in gravitational N-body simulations. We discuss the
main issues related to the effects of discretisation, particularly concerning
the effect of particle induced fluctuations on the statistical properties of
the initial conditions and on the dynamical evolution of gravitational
clustering.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:26:35 GMT""}]","2007-05-23"
