"astro-ph/0211626",,"Daniela Carturan, Fabio Finelli","Cosmological Effects of a Class of Fluid Dark Energy Models","4 pages, 6 figures","Phys.Rev. D68 (2003) 103501","10.1103/PhysRevD.68.103501",,"astro-ph gr-qc hep-ph hep-th",,"  We study the impact of a generalized Chaplygin gas as a candidate for dark
energy on CMB anisotropies. The generalized Chaplygin gas is a fluid component
with an exotic equation of state, $p = - A/\rho^\alpha$ (a polytropic gas with
negative constant and exponent). Such component interpolates in time between
dust and a cosmological constant, with an intermediate behaviour as $p=\alpha
\rho$. Perturbations of this fluid are stable on small scales, but behave in a
very different way with respect to standard quintessence. Moreover, a
generalized Chaplygin gas could also represent an archetypal example of a
phenomenological unified models of dark energy and dark matter. The results
presented here show how the CMB anisotropies induced by this class of models
differ from a $\Lambda$CDM model.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:25:34 GMT""}]","2009-11-07"
"astro-ph/0211641","Zhaohui Shang","Zhaohui Shang (1), Beverley J. Wills (1), Edward L. Robinson (1), D.
  Wills (1), Ari Laor (2), Bingrong Xie (3) and Juntao Yuan (1) ((1) University
  of Texas at Austin, (2) Technion-Israel Institute of Technology, (3) Rutgers
  University)","The Baldwin Effect and Black Hole Accretion: A Spectral Principal
  Component Analysis of a Complete QSO Sample","35 pages, 13 figures, AASTEX, accepted for publication in ApJ","Astrophys.J.586:52-71,2003","10.1086/367638",,"astro-ph",,"  A unique set of UV-optical spectrograms of 22 low redshift QSOs are
investigated using principal component analysis. We find three significant
principal components over the broad wavelength range from Ly\alpha to H\alpha.
They together account for about 78% of the sample intrinsic variance. We
present strong arguments that the first principal component represents the
Baldwin effect, relating equivalent widths to the luminosity (i.e. accretion
rate), but only emission-line cores are involved. The second component
represents continuum variations, probably dominated by intrinsic reddening. The
third principal component directly relates QSO UV properties to the optical
principal component 1 found by Boroson & Green (1992). It is the primary cause
of scatter in the Baldwin relationships. It is also directly related to broad
emission-line width and soft X-ray spectral index, and therefore probably
driven by Eddington accretion ratio. We demonstrate how Baldwin relationships
can be derived using our first principal component, virtually eliminating the
scatter caused by the third principal component. This rekindles the hope that
the Baldwin relationships can be used for cosmological study.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 06:54:51 GMT""}]","2008-11-26"
"astro-ph/0211642","Satoko Osone","S.Osone","Concept of new gamma ray detector","7 pages, 3 figures, to appear in 'The Universe Viewed in Gamma-Rays'",,,,"astro-ph",,"  We present a concept of a new gamma ray detector in order to observe
undetected TeV gamma ray background. We measure a track of an electron-positron
pair made by a pair creation in a magnet. By using Si as a tracker in a
magnetic field 3 T, an energy range is up to 10 TeV.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 06:59:59 GMT""},{""version"":""v2"",""created"":""Mon, 15 Mar 2004 07:08:28 GMT""}]","2007-05-23"
"astro-ph/0211643","Francisco Javier Castander","F. J. Castander (1,2,3), E. Treister (2,3), J. Maza (2), P. Coppi (3),
  T. Maccarone (4), S. Zepf (5), R. Guzman (6), M. T. Ruiz (2) ((1) IEEC/CSIC,
  Barcelona, (2) U de Chile, (3) Yale, (4) SISSA, (5) Michigan State, (6)
  Florida)","The CYDER Survey: First Results","Proceedings of the ""X-ray surveys, in the light of the new
  observatories"" workshop, Astronomische Nachrichten, in press (4 pages, 5
  figures included)",,"10.1002/asna.200310011",,"astro-ph",,"  We present the Calan-Yale Deep Extragalactic Research (CYDER) Survey. The
broad goals of the survey are the study of stellar populations, the star
formation history of the universe and the formation and evolution of galaxies.
The fields studied include Chandra deep pointings in order to characterize the
X-ray faint populations. Here we present the results on the first fields
studied. We find that the redshift distribution is consistent with that found
in the Chandra Deep Field North. The distribution of hardness ratios is,
however, softer in our sample. We find a high redshift quasar, CXOCY
J125304.0-090737 at z=4.179, which suggests that the abundance of low
luminosity high redshift quasars may be larger than what would be expected from
reasonable extrapolations from the quasar optical luminosity function.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 07:58:39 GMT""}]","2015-06-24"
"astro-ph/0211644","Xiangyu Wang","X. Y. Wang, Z. G. Dai and T. Lu","Emission Processes of High Energy Gamma Rays from Gamma-Ray Bursts","9 pages, 3 eps figures embedded. Based on the talk presented at the
  Sixth Pacific Rim Conference on Stellar Astrophysics (Xi'an, China, July
  11-17, 2002)",,,,"astro-ph",,"  Synchrotron self-Compton (SSC) process in the reverse shocks of gamma-ray
bursts is suggested to be responsible for the observed prompt high-energy
gamma-ray emissions from several gamma-ray bursts. We find that the SSC
emission from the reverse shocks dominates over other emission processes in
energy bands from tens of MeV to tens of GeV, for a wide range of shock
parameters. This model is favorable for escape of energetic photons from the
emitting regions due to a lower internal pair-production optical depth, as the
characteristic size of the reverse shock region is much larger than that of
internal shocks. We predict that, in this model, the prompt high-energy
emissions are correlated with the prompt optical flashes, which can be test in
the forthcoming GLAST era.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:33:33 GMT""}]","2007-05-23"
"astro-ph/0211645","Buenerd","M. Buenerd","The RICH counter of the AMS experiment","5 pages, 7 figures","Nucl.Instrum.Meth. A502 (2003) 158-162","10.1016/S0168-9002(03)00267-5",,"astro-ph hep-ex",,"  The RICH counter of the AMS experiment is described and its expected
performances are discussed. Prototype results are reported.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 08:57:53 GMT""}]","2009-11-07"
"astro-ph/0211646","Robert Priddey","Robert S. Priddey (1), Kate G. Isaak (2), Richard G. McMahon (3),
  Alain Omont (4) ((1) Imperial College, London, UK, (2) Cavendish
  Astrophysics, Cambridge, UK, (3) IoA, Cambridge, UK, (4) IAP, Paris, France)","The SCUBA Bright Quasar Survey II: unveiling the quasar epoch at
  submillimetre wavelengths","7 pages, 5 figures. MNRAS, in press","Mon.Not.Roy.Astron.Soc.339:1183,2003","10.1046/j.1365-8711.2003.06279.x",,"astro-ph",,"  We present results of the first systematic search for submillimetre continuum
emission from z=2, radio-quiet, optically-luminous quasars, using the
SCUBA/JCMT. We have observed a homogeneous sample of 57 quasars in the redshift
range 1.5<z<3.0- the epoch during which the comoving density of luminous AGN
peaks- to make a systematic comparison with an equivalent sample at high (z>4)
redshift. The target sensitivity of the survey (3sigma=10mJy at 850um) was
chosen to enable efficient identification of bright submm sources, suitable for
detailed follow-up. 9 targets are detected, with fluxes in the range 7-17mJy.
Although there is a suggestion of variation of submm detectability between z=2
and z=4, this is consistent with the K-correction of a characteristic
far-infrared spectrum. Additionally, the weighted mean fluxes of non-detections
at z=2 and z>4 are comparable.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 10:06:05 GMT""}]","2008-11-26"
"astro-ph/0211647","Damien Segransan","D. Segransan, P. Kervella, T. Forveille, D. Queloz","First radius measurements of very low mass stars with the VLTI","Accepted for publication in Astronomy and Astrophysics Letters, 4
  pages, 3 figures","Astron.Astrophys. 397 (2003) L5-L8","10.1051/0004-6361:20021714",,"astro-ph",,"  e present 4 very low mass stars radii measured with the VLTI using the 2.2
microns VINCI test instrument. The observations were carried out during the
commissioning of the 104-meter-baseline with two 8-meter-telescopes. We measure
angular diameters of 0.7-1.5 mas with accuracies of 0.04-0.11 mas, and for
spectral type ranging from M0V to M5.5V. We determine an empirical mass-radius
relation for M dwarfs based on all available radius measurements. The observed
relation agrees well with theoretical models at the present accuracy level,
with possible discrepancy around 0.5-0.8 Msolar that needs to be confirmed. In
the near future, dozens of M dwarfs radii will be measured with 0.1-1%
accuracy, with the VLTI, thanks to the improvements expected from the near
infrared instrument AMBER. This will bring strong observational constraints on
both atmosphere and interior physics.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:11:57 GMT""}]","2009-11-07"
"astro-ph/0211648","Anthony Boccaletti","A. Boccaletti, J.C. Augereau, F. Marchis, J. Hanh","Ground-based near-infrared imaging of the HD141569 circumstellar disk","15 pages, to appear in ApJ March 1, 2003 issue, figures available at:
  http://wwwusr.obspm.fr/~boccalet/Publications/ApJ55797.preprint.pdf","Astrophys.J.585:494-501,2003","10.1086/346019",,"astro-ph",,"  We present the first ground-based near-infrared image of the circumstellar
disk around the post-Herbig Ae/Be star HD141569A initially detected with the
HST. Observations were carried out in the near-IR (2.2 $\mu$m) at the Palomar
200-inch telescope using the adaptive optics system PALAO.
  The main large scale asymmetric features of the disk are detected on our
ground-based data. In addition, we measured that the surface brightness of the
disk is slightly different than that derived by HST observations (at 1.1 $\mu$m
and 1.6 $\mu$m). We interpret this possible color-effect in terms of dust
properties and derive a minimal
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:44:00 GMT""}]","2008-11-26"
"astro-ph/0211649","Sergio Colafrancesco","S. Colafrancesco (INAF-Osservatorio Astronomico di Roma), P.
  Marchegiani (Univ. La Sapienza, Roma) and E. Palladino (Univ. La Sapienza,
  Roma)","The Non-Thermal Sunyaev-Zel'dovich Effect in Clusters of Galaxies","40 pages, 29 figures, 13 Tables. To appear in A&A. A&A in press","Astron.Astrophys. 397 (2003) 27-52","10.1051/0004-6361:20021199","OAR 02/11/01","astro-ph",,"  In this paper we provide a general derivation of the non-thermal (as well as
of the thermal) SZ effect in galaxy clusters which is exact in the Thomson
limit to any approximation order in the optical depth. Such a general
derivation is obtained using the full relativistic formalism and overcoming the
limitations of the Kompaneets and of the single scattering approximations. To
have a consistent description of the SZ effect in clusters containing
non-thermal phenomena, we also evaluate in a consistent way - for the first
time - the total SZ effect produced by a combination of thermal and non-thermal
electron populations residing in the same environment, like is the case in
radio-halo clusters. We discuss both the spectral and the spatial features of
the total SZ effect and we provide specific predictions for a well studied
radio-halo cluster like A2163. We also discuss the overall SZ effect produced
by a combination of different thermal populations residing in the cluster
atmosphere. In this context, we discuss how the combined observations of the
thermal and non-thermal SZ effect provide constraints on the spectrum of the
relativistic electron population and, in turn, on the presence and on the
origin of non-thermal phenomena (radio-halo, hard X-ray, EUV excesses)
occurring in galaxy clusters.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:15:29 GMT""}]","2009-11-07"
"astro-ph/0211650","Alessandro Marconi","A. Marconi, D.J. Axon, A. Capetti, W. Maciejewski, J. Atkinson, D.
  Batcheldor, J. Binney, M. Carollo, L. Dressel, H. Ford, J. Gerssen, M.A.
  Hughes, D. Macchetto, M.R. Merrifield, C. Scarlata, W. Sparks, M. Stiavelli,
  Z. Tsvetanov, R.P. van der Marel","Is there really a Black Hole at the center of NGC 4041? - Constraints
  from gas kinematics","Accepted for publication in the Astrophysical Journal","Astrophys.J. 586 (2003) 868-890","10.1086/367764",,"astro-ph",,"  We present HST/STIS spectra of the Sbc spiral galaxy NGC 4041 which were used
to map the velocity field of the gas in its nuclear region. We detect the
presence of a compact (r~0.4"" ~40 pc), high surface brightness, rotating
nuclear disk co-spatial with a nuclear star cluster. The disk is characterized
by a rotation curve with a peak to peak amplitude of ~40 km/s and is
systematically blueshifted by 10 - 20 km/s with respect to the galaxy systemic
velocity. With the standard assumption of constant mass-to-light ratio and with
the nuclear disk inclination taken from the outer disk, we find that a dark
point mass of 1(-0.7;+0.6) 10^7 Msun is needed to reproduce the observed
rotation curve. However the observed blueshift suggests the possibility that
the nuclear disk could be dynamically decoupled. Following this line of
reasoning we relax the standard assumptions and find that the kinematical data
can be accounted for by the stellar mass provided that either the central
mass-to-light ratio is increased by a factor of ~2 or that the inclination is
allowed to vary. This model results in a 3 sigma upper limit of 6 10^6 Msun on
the mass of any nuclear black hole. Overall, our analysis only allows us to set
an upper limit of 2 10^7 Msun on the mass of the nuclear black hole. If this
upper limit is taken in conjunction with an estimated bulge B magnitude of
-17.7 and with a central stellar velocity dispersion of 95 km/s, then these
results are not inconsistent with both the MBH-Lsph and the MBH-sigma
correlations. Constraints on black hole masses in spiral galaxies of types as
late as Sbc are still very scarce and therefore the present result adds an
important new datapoint to our understanding of black hole demography.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 14:57:10 GMT""}]","2009-11-07"
"cond-mat/0211655","Hickel","T. Hickel, J. Roeseler, W. Nolting","Exact solution for the two-site Kondo-Lattice Model - a limiting case
  for an insulator","11 pages, 6 figures",,,,"cond-mat.str-el",,"  The Kondo-lattice model is well established as a method to describe an
exchange coupling between single conduction electrons and localized magnetic
moments. As a nontrivial exact result the zero-bandwidth limit (atomic limit)
can be used to test approximations for this model. As soon as the translational
symmetry is broken (for instance by sublattice structures) it is necessary to
consider more than one lattice site. Therefore, we study as a starting point
for generalizations the situation of a two-site cluster. An equation-of-motion
approach is chosen to obtain the one-particle Green's function. In order to
determine the spectral weights of its energy poles, we derive different
possibilities for the calculation of the involved correlation functions. In
this paper the analytical exact result for the situation of an insulator is
presented. In a forthcoming article we generalize the calculations to arbitrary
electron densities, keeping as the only constraint S=1/2.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:18:43 GMT""}]","2007-05-23"
"cond-mat/0211665","A. S. Alexandrov","K. K. Lee, A. S. Alexandrov and W. Y. Liang (University of Cambridge
  and Loughborough University, United Kingdom)","Lorenz number in high Tc superconductors: evidence for bipolarons","4 page, 1 figure","Physical Review Letters, 90(21), 2003, pp 217001-1/4","10.1103/PhysRevLett.90.217001",,"cond-mat.supr-con cond-mat.str-el",,"  Strong electron-phonon interaction in cuprates has gathered support over the
last decade in a number of experiments. While phonons remain almost
unrenormalised, electrons are transformed into itinerent bipolarons and
thermally excited polarons when the electron-phonon interaction is strong. We
calculate the Lorenz number of the system to show that the Wiedemann-Franz law
breaks down because of the interference of polaron and bipolaron contributions
in the heat flow. The model fits numerically the experimental Hall Lorenz
number, which provides a direct evidence for bipolarons in the cuprates.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:13:04 GMT""}]","2009-11-07"
"cond-mat/0211666",,"Holger Ebel, Stefan Bornholdt","Evolutionary games and the emergence of complex networks","5 pages RevTeX, 2 figures PostScript",,,"CAU-THP-02-28","cond-mat.dis-nn cond-mat.stat-mech",,"  The emergence of complex networks from evolutionary games is studied
occurring when agents are allowed to switch interaction partners. For this
purpose a coevolutionary iterated Prisoner's Dilemma game is defined on a
random network with agents as nodes and games along the links. The agents
change their neighborhoods to improve their payoff. The system relaxes to
stationary states corresponding to cooperative Nash equilibria with the
additional property that no agent can improve its payoff by changing its
neighborhood. Small perturbations of the system lead to avalanches of strategy
readjustments reestablishing equilibrium. As a result of the dynamics, the
network of interactions develops non-trivial topological properties as a broad
degree distribution suggesting scale-free behavior, small-world
characteristics, and assortative mixing.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:19:58 GMT""}]","2007-05-23"
