"astro-ph/0210512","Todor Stanev","T.K. Gaisser & Todor Stanev","Charge ratio of muons from atmospheric neutrinos","6 pages, 4 figures, to be submitted to Physics Letters","Phys.Lett.B561:125-129,2003","10.1016/S0370-2693(03)00389-7","BA-02-37","astro-ph hep-ph",,"  We calculate the intensities and angular distributions of positive and
negative muons produced by atmospheric neutrinos. We comment on some sources of
uncertainty in the charge ratio. We also draw attention to a potentially
interesting signature of neutrino oscillations in the muon charge ratio, and we
discuss the prospects for its observation (which are not quite within the reach
of currently planned magnetized detectors).
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:36:42 GMT""}]","2011-05-12"
"astro-ph/0210527","Andreas Albrecht","Andreas Albrecht","Cosmic Inflation and the Arrow of Time","34 pages including 10 figures. To appear in ""Science and Ultimate
  Reality: From Quantum to Cosmos"", honoring John Wheeler's 90th birthday. J.
  D. Barrow, P.C.W. Davies, & C.L. Harper eds. Cambridge University Press
  (2003) V3: Final version submitted to the editors. Differences from V2: Only
  added references and fixed typos",,,,"astro-ph gr-qc hep-th",,"  Cosmic inflation claims to make the initial conditions of the standard big
bang ""generic"". But Boltzmann taught us that the thermodynamic arrow of time
arises from very non-generic (""low entropy"") initial conditions. I discuss how
to reconcile these perspectives. The resulting insights give an interesting way
to understand inflation and also compare inflation with other ideas that claim
to offer alternative theories of initial conditions.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 00:30:29 GMT""},{""version"":""v2"",""created"":""Thu, 28 Nov 2002 00:25:00 GMT""},{""version"":""v3"",""created"":""Mon, 20 Jan 2003 14:37:51 GMT""}]","2007-05-23"
"astro-ph/0210528","Mike Beasley","Michael A. Beasley, Carlton M. Baugh, Duncan A. Forbes, Ray M.
  Sharples, Carlos S. Frenk","Forming Globular Cluster Systems in a Semi-analytic Scheme","6 pages, 4 figures. Contributed talk given at the ESO workshop
  ""Extragalactic Globular Cluster Systems"", August 2002, Garching, ed. M.
  Kissler-Patig, Springer-Verlag",,"10.1007/10857603_52",,"astro-ph",,"  We apply the semi-analytical galaxy formation code of Cole et al. to
investigate the formation of globular cluster (GC) systems in hierarchical
clustering scenarios. The nature of the model allows us to investigate the
properties of GC systems and their parent galaxies within a cosmological
framework, over a wide dynamic range of mass and time resolution. Assuming GCs
form during mergers of gaseous systems, the metal-rich peak of the classical
'bimodal' metallicity distribution of GCs naturally falls out of our model,
where such merging occurs over a wide range of redshifts. The physical origin
of old, metal-poor GCs (the metal-poor peak) is harder to understand, since
their formation must be decoupled from the ongoing star formation in these
systems at high redshift (z~5). Within the context of semi-analytic models in
general, a possible solution lies in a cut-off in the GC formation efficiency
at a characteristic local star formation rate.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 00:50:14 GMT""}]","2009-11-07"
"astro-ph/0210529","Stefano Venturini","S. Venturini, P. M. Solomon","The Molecular Disk in the Cloverleaf Quasar","18 pages, 2 figures, accepted for publication in ApJ","Astrophys.J. 590 (2003) 740-745","10.1086/375050",,"astro-ph",,"  We propose a new interpretation for the CO emitting region of the Cloverleaf
(H1413+1143), a gravitationally lensed QSO. We fit a two-galaxy lensing model
directly to the IRAM CO(7-6) data rather than to the optical HST image and from
the fit we infer that the CO(7-6) source is a disk-like structure with a
characteristic radius of $785 {\rm pc} (in the currently widely accepted
cosmology: cosmological constant $\Omega_{\Lambda}=0.7$, matter content
$\Omega_{m}=0.3$, and Hubble constant $H_{0}=65 {\rm km s^{-1} mpc}^{-1}$), a
size similar to that of the CO emitting regions present in nearby starburst
ultraluminous infrared galaxies. We therefore suggest that the Cloverleaf
contains both an extended rotating molecular starburst disk and a central
quasar.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 05:37:35 GMT""},{""version"":""v2"",""created"":""Fri, 28 Feb 2003 18:30:14 GMT""}]","2009-11-07"
"astro-ph/0210530","Dipankar P. K. Banerjee","D.P.K. Banerjee and N.M. Ashok","Near infra-red spectroscopy of V838 Monocerotis","7 pages, 5 figures, to appear in Astronomy and Astrophysics","Astron.Astrophys. 395 (2002) 161-168","10.1051/0004-6361:20021243",,"astro-ph",,"  Near IR, multi-epoch, spectroscopic and photometric observations of the
enigmatic, eruptive variable V838 Mon in JHK bands are reported. One of the
unusual features is the detection of several strong neutral TiI lines in
emission in the K band. From the strength of these lines, the mass of the
ejected envelope is estimated to be in the range 10e-7 to 10e-5 M(sun). The
spectra also show the strong presence of the first and second overtones of 12CO
bands seen in the K and H bands. The CO bands show a complex evolution. Deep
water bands at 1.4 and 1.9 micron are also seen later in the object's
evolution. Blackbody fits to the JHK photometric data show that V838 Mon has
evolved to temperatures between 2400 - 2600 K by approximately 130 days after
outburst. The spectra at this stage have the general characteristics of a very
cool M giant.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 08:34:29 GMT""}]","2009-11-07"
"astro-ph/0210531","Michael Murphy","J. K. Webb, M. T. Murphy, V. V. Flambaum, S. J. Curran (UNSW)","Does the fine structure constant vary? A third quasar absorption sample
  consistent with varying alpha","12 pages, 3 PS/EPS figures. Invited talk presented at JENAM2002
  workshop on The Cosmology of Extra Dimensions and Varying Fundamental
  Constants. To appear in the proceedings","Astrophys.Space Sci.283:565,2003","10.1023/A:1022518515530",,"astro-ph",,"  We report preliminary results from a third sample of quasar absorption line
spectra from the Keck telescope which has been studied to search for any
possible variation of the fine structure constant, alpha. This third sample,
which is larger than the sum of the two previously published samples, shows the
same effect, and also gives, as do the previous two samples, a significant
result. The combined sample yields a highly significant effect, da/a = (alpha_z
- alpha_0)/alpha_0 = -0.57 +/- 0.10 x 10^{-5}, averaged over the redshift range
0.2 < z < 3.7. We include a brief discussion of small-scale kinematic structure
in quasar absorbing clouds. However, kinematics are unlikely to impact
significantly on the averaged non-zero da/a above, and we have so far been
unable to identify any systematic effect which can explain it. New measurements
of quasar spectra obtained using independent instrumentation and telescopes are
required to properly check the Keck results.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:29:41 GMT""}]","2009-08-18"
"astro-ph/0210532","Michael Murphy","M. T. Murphy, J. K. Webb, V. V. Flambaum, S. J. Curran (UNSW)","Does the fine structure constant vary? A detailed investigation into
  systematic effects","6 pages, 6 EPS figures. Talk presented at JENAM2002 workshop on The
  Cosmology of Extra Dimensions and Varying Fundamental Constants. To appear in
  the proceedings","Astrophys.Space Sci.283:577,2003","10.1023/A:1022570532369",,"astro-ph",,"  We have previously presented 5.7-sigma evidence for a smaller alpha at
redshifts 0.2 < z_abs < 3.7 from a sample of 128 Keck/HIRES quasar absorption
systems: da/a = (-0.57 +/- 0.10) x 10^{-5}. A non-zero da/a manifests itself as
a distinct pattern of shifts in the measured absorption line wavelengths. The
statistical error is now small: we do detect small line shifts in the HIRES
data. Whether these shifts are due to systematic errors or due to real
variation in alpha is now the central question. Here we summarize the two
potentially most important systematic effects: atmospheric dispersion and
isotopic abundance evolution. Previously, these have been difficult to
quantify/model but here we find that neither of them can explain our results.
Furthermore, the HIRES spectra themselves contain no evidence for these
effects. Independent measurements of da/a with a different telescope and
spectrograph are now crucial if we are to rule out or confirm the present
evidence for a variable alpha.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:30:20 GMT""}]","2009-08-18"
"astro-ph/0210533","Jerome Martin","Philippe Brax and Jerome Martin","Quintessence and the accelerating universe","4 pages, 3 figures. Invited talk given by J. Martin at the Sf2a
  meeting (June 24-29, 2002, Paris)",,,,"astro-ph",,"  Observations seem to indicate that our universe is presently accelerating due
to the presence of dark energy. Quintessence represents a possible way to model
the dark energy. In these proceedings, we briefly review its main properties.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:43:06 GMT""}]","2007-05-23"
"astro-ph/0210534","Ferdinando Patat","Ferdinando Patat","Light Echoes in Type Ia Supernovae","6 pages, 2 figures. To appear in ""From Twilight to Highlight: The
  Physics of Supernovae"", W.Hillebrandt & B.Leibundgut Eds., Springer-Verlag",,"10.1007/10828549_45",,"astro-ph",,"  Light echoes are a promising tool to probe the environment where SNe Ia
explode and an independent source of information on the progenitor's nature.
After giving a brief introduction to the phenomenon we review the two known
cases, i.e. SNe 1991T and 1998bu. We then present the results we obtained from
the test case of SN1998es in NGC632. This object was classified as a 1991T-like
event and was affected by a strong reddening, a fact which made it a good
candidate for a light echo detection.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:57:55 GMT""}]","2009-11-07"
"astro-ph/0210535","Uta Fritze-v. Alvensleben","Uta Fritze-v. Alvensleben, Peter Weilbacher, Jens Bicker
  (Universit\""atssternwarte, G\""ottingen, Germany)","Chemically Consistent Evolutionary Synthesis","4 pages, klups.sty, klucite.sty To appear in {\sl The Evolution of
  Galaxies. III - From Simple Approaches to Self-consistent Models}, eds. G.
  Hensler, G. Stasinska, S. Harfst, P. Kroupa, Chr. Theis","Astrophys.Space Sci. 284 (2003) 893-896","10.1023/A:1024014800146",,"astro-ph",,"  To account for the range of stellar metallicities in local galaxies and for
the increasing importance of low metallicities at higher redshift we present
chemically consistent models for the spectral and chemical evolution of
galaxies over cosmological timescales. We discuss advantages, limitations and
future prospects of our approach.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 10:34:48 GMT""}]","2009-11-07"
"astro-ph/0210536","Fedor V. Prigara","F.V.Prigara","The wavelength dependence of Sgr A* size and the unified model of
  compact radio sources","8 pages","Astron.Nachr. 324S1 (2003) 425-429","10.1002/asna.200385112",,"astro-ph",,"  Using, in particular, the data upon Sgr A*, we propose the unified model of
compact radio sources, i.e. of pulsars, maser sources, and active galactic
nuclei. The unification is based on the wavelength dependence of radio source
size. It is shown that the compact sources are characterized by a maser
amplification of thermal radio emission. The density, temperature, and magnetic
field profiles of compact sources are discussed. The wavelength dependence of
Sgr A* size is explained by the effect of the gravitational field of a central
energy source on a gas flow.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 11:45:41 GMT""}]","2009-11-07"
"astro-ph/0210537","Barbara Ricci","G. Fiorentini, C. Rolfs, F.L. Villante and B. Ricci","Fusion rate enhancement due to energy spread of colliding nuclei","17 pages with 3 ps figure included. Revtex style","Phys.Rev. C67 (2003) 014603","10.1103/PhysRevC.67.014603","INFN-FE-10-02","astro-ph nucl-th",,"  Experimental results for sub-barrier nuclear fusion reactions show cross
section enhancements with respect to bare nuclei which are generally larger
than those expected according to electron screening calculations. We point out
that energy spread of target or projectile nuclei is a mechanism which
generally provides fusion enhancement. We present a general formula for
calculating the enhancement factor and we provide quantitative estimate for
effects due to thermal motion, vibrations inside atomic, molecular or crystal
system, and due to finite beam energy width. All these effects are marginal at
the energies which are presently measurable, however they have to be considered
in future experiments at still lower energies. This study allows to exclude
several effects as possible explanation of the observed anomalous fusion
enhancements, which remain a mistery.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 13:49:52 GMT""}]","2009-11-07"
"astro-ph/0210538","Sergey Kuznetsov","Sergey Kuznetsov (Space Research Institute (IKI), Moscow, Russia)","Quasi-Periodic X-ray Oscillations in the Source Sco X-1","17 pages, 9 figures, uses pstricks package. To be published in
  Astronomy Letters, Vol. 28, No. 12, 2002, pp. 811-820 (English version by
  ""MAIK Nauka"")","Astron.Lett. 28 (2002) 811-820","10.1134/1.1525832",,"astro-ph",,"  The RXTE observations of Scorpius X-1 in 1996-1999 are presented. The
properties of its quasi-periodic X-ray oscillations are studied in detail. The
results obtained are used for analysis in terms of the transition-layer model
(TLM) and the relativistic-precession model (RPM) for a slowly rotating neutron
star. Theoretical predictions of the two models are compared and their
self-consistency is verified. The tilt of the magnetosphere to the
accretion-disk plane, the neutron-star mass, and its angular momentum are
determined in the model frameworks.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 13:55:29 GMT""}]","2009-11-07"
"astro-ph/0210539","Keith Horne","Keith Horne (1), Kirk T Korista (2) and Michael R Goad (3) ((1)
  St.Andrews, (2) Western Michigan, (3) Southampton)","Quasar Tomography: Unification of Echo Mapping and Photoionisation
  Models","Accepted 4 Sep 2002 for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 339 (2003) 367","10.1046/j.1365-8711.2003.06036.x",,"astro-ph",,"  Reverberation mapping uses time-delayed variations in photoionised emission
lines to map the geometry and kinematics of emission-line gas in active
galactic nuclei. In previous work, the light travel time delay
tau=R(1+cos(theta))/c and Doppler shift v give a 2-d map Psi(tau,v) for each
emission line. Here we combine the velocity-delay information with
photoionisation physics in a maximum entropy fit to the full reverberating
spectrum F_lam(lam,t) to recover a 5-d map of the differential covering
fraction f(R,theta,n,N,v), with n and N the density and column density of the
gas clouds. We test the method for a variety of geometries (shells, rings,
disks, clouds, jets) by recovering a 3-d map f(R,theta,n) from reverberations
in 7 uv emission lines. The best test recovers a hollow shell geometry,
defining R to 0.15 dex, n to 0.3 dex, and ionisation parameter U ~ 1/(n R^2) to
0.1 dex. The results are sensitive to the adopted distance and luminosity,
suggesting that these parameters may be measurable as well.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:09:28 GMT""}]","2009-11-07"
"astro-ph/0210540","Antonio Pipino","Francesca Matteucci (Department of Astronomy, University of Trieste)","What determines galactic evolution?","10 pages, 2 figures, to appear in the''Proceedings of The evolution
  of galaxies III. From simple approaches to self-consistent models'', Kiel
  (Germany), 2002","Astrophys.Space Sci. 284 (2003) 539-548","10.1023/A:1024089402368",,"astro-ph",,"  We are briefly introducing the most important ingredients to study galactic
evolution. In particular the roles of star formation, nucleosynthesis and gas
flows. Then we are discussing the two different approaches to galactic
evolution: the stellar population approach (chemical evolution models) and the
hierarchical clustering scenario for galaxy formation. It is shown that there
are still some controversial points in the two approaches, as evident in the
brief summary of the discussion.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:41:22 GMT""}]","2009-11-07"
"astro-ph/0210541","James M. Stone","Timothy Fleming and James M. Stone","Local Magnetohydrodynamical Models of Layered Accretion Disks","Accepted by Ap. J","Astrophys.J. 585 (2003) 908-920","10.1086/345848",,"astro-ph",,"  Using numerical MHD simulations, we have studied the evolution of the
magnetorotational instability in stratified accretion disks in which the
ionization fraction (and therefore resistivity) varies substantially with
height. This model is appropriate to dense, cold disks around protostars or
dwarf nova systems which are ionized by external irradiation of cosmic rays or
high-energy photons. We find the growth and saturation of the MRI occurs only
in the upper layers of the disk where the magnetic Reynolds number exceeds a
critical value; in the midplane the disk remains queiscent. The vertical
Poynting flux into the ""dead"", central zone is small, however velocity
fluctuations in the dead zone driven by the turbulence in the active layers
generate a significant Reynolds stress in the midplane. When normalized by the
thermal pressure, the Reynolds stress in the midplane never drops below about
10% of the value of the Maxwell stress in the active layers, even though the
Maxwell stress in the dead zone may be orders of magnitude smaller than this.
Significant mass mixing occurs between the dead zone and active layers.
Fluctuations in the magnetic energy in the active layers can drive vertical
oscillations of the disk in models where the ratio of the column density in the
dead zone to that in the active layers is <10. These results have important
implications for the global evolution of a layered disk, in particular there
may be residual mass inflow in the dead layer. We discuss the effects that dust
in the disk may have on our results.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:44:56 GMT""}]","2009-11-07"
"astro-ph/0210542","Antonio Pipino","Antonio Pipino and Francesca Matteucci (Department of Astronomy,
  University of Trieste)","Chemical evolution of Elliptical Galaxies and the ICM","4 pages, 2 figures, to appear in the ''Proceedings of The evolution
  of galaxies III. From simple approaches to self-consistent models'', Kiel
  (Germany), 2002","Astrophys.Space Sci. 284 (2003) 799-802","10.1023/A:1024037727520",,"astro-ph",,"  We present a new model for the chemical evolution of elliptical galaxies
taking into account SN feedback, detailed nucleosynthesis and galactic winds.
We discuss the effect of galactic winds on the chemical enrichment of the ICM
and compute the energy per particle injected by the galaxies into the ICM.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:55:03 GMT""}]","2009-11-07"
