"astro-ph/0210184","Agnieszka Jacholkowska","A. Falvard, E. Giraud, A. Jacholkowska, J. Lavalle, E. Nuss, F. Piron,
  M. Sapinski (GAM-Montpellier), P. Salati, R. Taillet (LAPTH-Annecy), K.
  Jedamzik, G. Moultaka (LPMT-Montpellier)","Supersymmetric dark matter in M31: can one see neutralino annihilation
  with CELESTE?","Latex, 32 pages, 12 figures, 5 tables","Astropart.Phys. 20 (2004) 467-484","10.1016/j.astropartphys.2003.07.001","GAM-2002/03, LAPTH-937, PM/02-03","astro-ph hep-ph",,"  It is widely believed that dark matter exists within galaxies and clusters of
galaxies. Under the assumption that this dark matter is composed of the
lightest, stable supersymmetric particle, assumed to be the neutralino, the
feasibility of its indirect detection via observations of a diffuse gamma-ray
signal due to neutralino annihilations within M31 is examined. To this end,
first the dark matter halo of the close spiral galaxy M31 is modeled from
observations, then the resultant gamma-ray flux is estimated within
supersymmetric model configurations. We conclude that under favorable
conditions such as the rapid accretion of neutralinos on the central black hole
in M31 and/or the presence of many clumps inside its halo with $r^{-3/2}$ inner
profiles, a neutralino annihilation gamma-ray signal is marginally detectable
by the ongoing collaboration CELESTE.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:14:22 GMT""}]","2015-06-24"
"astro-ph/0210199","Daniele Dallacasa","C. Fanti, R. Fanti, D. Dallacasa, A. McDonald, R.T. Schilizzi, R.E.
  Spencer","Multi-frequency Analysis of the two CSS quasars 3C 43 & 3C 298","14 pages, A&A accepted","Astron.Astrophys. 396 (2002) 801-814","10.1051/0004-6361:20021410",,"astro-ph",,"  We present and discuss observations made with MERLIN and VLBI at 1.7 and 5
GHz of the two CSS quasars 3C 43 and 3C 298. They show quite different
morphologies, the former being a very distorted triple radio source, the latter
a small FRII type object. Relativistic effects and structural distortions are
discussed. Source ages are evaluated to be of the order of ~10^5 years,
therefore 3C 43 and 3C 298 can be considered fairly ''young'' radio sources.
Some inference is also derived on the properties of the medium surrounding the
radio emitting regions in these sub-galactic objects, whose density could be as
low as 10^-3 cm^-3.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 07:46:50 GMT""}]","2009-11-07"
"astro-ph/0210200",,"M.Tosi (INAF-Osservatorio Astronomico di Bologna)","Understanding dwarf galaxies as galactic building blocks","Summary of a general discussion held at the EuroConference ""The
  evolution of galaxies. III: From simple approaches to self-consistent
  models"", A&SS (Kluwer) in press. 10 pages, 4 eps figs","Astrophys.Space Sci. 284 (2003) 651-660","10.1023/A:1024038913272","BAP10-2002-07-OAB","astro-ph",,"  This is a summary of a general discussion held during the third
EuroConference on galaxy evolution. Various observational features of the
stellar populations in present--day dwarf galaxies were presented to introduce
the discussion on the possibility that these systems be the main building
blocks of spiral and elliptical galaxies. Many people in the audience turned
out to think that the inconsistencies among the observed properties of large
and dwarf galaxies are too many to believe that the former are built up only by
means of successive accretions of the latter. However, theorists of
hierarchical galaxy formation suggested that present--day dwarfs are not
representative of the galactic building blocks, which may be completely
invisible nowadays. Some of them suggested that, contrary to what is usually
assumed in hierarchical modelling, the actual building blocks were still fully
gaseous systems when their major mergers occurred. If this is the case, then
most of the inconsistencies can be overcome, and the scenario of hierarchical
galaxy formation becomes not too different from that of a slow gas accretion.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 08:35:13 GMT""}]","2009-11-07"
"astro-ph/0210201","Sukyoung Yi","Sukyoung K. Yi (Oxford), Yong -Cheol Kim (Yonsei), Pierre Demarque
  (Yale)","The Y^2 Stellar Evolutionary Tracks","7 pages, TeX, 1 eps figure. ApJS, 2003, vol.144 (Feb), in press",,"10.1086/345101",,"astro-ph",,"  We present a database of the latest stellar models of the $Y^2$ (Yonsei-Yale)
collaboration. This database contains the stellar evolutionary tracks from the
pre-main-sequence birthline to the helium core flash that were used to
construct the $Y^2$ isochrones. We also provide a simple interpolation routine
that generates stellar tracks for given sets of parameters (metallicity, mass,
and $\alpha$-enhancement).
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 10:39:32 GMT""}]","2009-11-07"
"astro-ph/0210202","Sukyoung Yi","Sukyoung K. Yi","Uncertainties of Synthetic Integrated Colors as Age Indicators","38 pages, 21 figures, LaTex, 2003, ApJ, 582 (Jan 1), in press","Astrophys.J.582:202-214,2003","10.1086/344640",,"astro-ph",,"  We investigate the uncertainties in the synthetic integrated colors of simple
stellar populations. Three types of uncertainties are from the stellar models,
the population synthesis techniques, and from the spectral libraries. Despite
some skepticism, synthetic colors appear to be reliable age indicators when
used for select age ranges. Rest-frame optical colors are good age indicators
at ages 2 -- 7Gyr. At ages sufficiently large to produce hot HB stars, the
UV-to-optical colors provide an alternative means for measuring ages. This UV
technique may break the age-metallicity degeneracy because it separates old
populations from young ones even in the lack of metallicity information. One
can use such techniques on extragalactic globular clusters and perhaps even for
high redshift galaxies that are passively evolving to study galaxy evolution
history.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:17:36 GMT""}]","2011-07-18"
"astro-ph/0210203","Kunihito Ioka","Kunihito Ioka","Ultra Fast Self-Compton Cooling","12 pages, 4 figures, accepted for publication in ApJ","Astrophys.J. 583 (2003) 819-823","10.1086/345467","OU-TAP 172","astro-ph",,"  We investigate the synchrotron self-Compton process in a planar shell taking
the shock structure into account. We find that the energy density of the seed
photons could deviate from the one-zone estimate by order of unity depending on
the shock velocity and the electron cooling time. We also find that as the
electron cooling becomes faster, the seed photons are increased more, so that
the inverse Compton cooling becomes more efficient. This ``ultra'' fast cooling
may work in such as gamma-ray bursts, blazars and microquasars.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 12:00:04 GMT""}]","2009-11-07"
"astro-ph/0210204","Winfried Zimdahl","W. Zimdahl (Konstanz), A.B. Balakin (Kazan), D.J. Schwarz (Wien), and
  D. Pav\'on (Barcelona)","Gas models for inflation and quintessence","13 pages, Talk at the V International Conference on Gravitation and
  Astrophysics of Asian-Pacific Countries, Moscow, Oct.1 - Oct.6 2001 Journal
  reference: Gravitation & Cosmology, Vol. 8, Suppl.II, 158 (2002)","Grav.Cosmol. 8 (2002) 158-163",,,"astro-ph gr-qc",,"  Specific internal self-interactions in gaseous cosmic fluids are shown to
give rise to effective negative pressures which may violate the strong energy
condition. On this basis we discuss the transition from an initial de Sitter
phase to a subsequent Friedmann-Lema\^{\i}tre-Robertson-Walker period as a
non-equilibrium configuration of an ultrarelativistic gas. An accelerated
expansion of the present universe is obtained as the consequence of a negative
internal friction force which is self-consistently exerted on the
non-relativistic cold dark matter (CDM) type microscopic constituents of the
cosmic gas.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 12:45:39 GMT""}]","2016-08-16"
"astro-ph/0210205","Renaud Papoular","R. Papoular","Classical, non-linear, internal dynamics of large, isolated,
  vibrationally excited molecules","19 pages, 9 figures, J. of Phys. B 2002, vol 35(17)",,"10.1088/0953-4075/35/17/310",,"astro-ph",,"  This work reports numerical experiments intended to clarify the internal
equilibration process in large molecules, following vibrational excitation. A
model of amorphous and oxygenated hydrocarbon macromolecule (about 500
atoms)--simulating interstellar dust-- is built up by means of a chemical
simulation code. Its structure is optimized, and its normal modes determined.
About 4.5 eV of potential energy is then deposited locally by perturbing one of
the C-H peripheral bonds, thus simulating the capture of a free H atom by a
dangling C bond. The ensuing relaxation of the system is followed for up to 300
ps, using a molecular mechanics code. When steady state is reached, spectra and
time correlation functions of kinetic energy and bond length fluctuations
indicate that most normal modes have been activated, but the motion remains
quasi-periodic or regular. By contrast, when the molecule is violently excited
or embedded in a thermal bath (modelled by Langevin dynamics), the same markers
clearly depict chaotic motions. Thus it appears that even such a large system
of oscillators is unable to provide the equivalent of a thermal bath to any one
of these, unless there are strong resonances between some of them. In general,
therefore, an energy of a few eV's deposited in an isolated molecule will not
be immediately thermalized. This conclusion is of consequence for the
interpretation of astronomical UIB spectra.
  Key Words:IS dust--UIBs--Excitation, relaxation processes.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:29:33 GMT""}]","2009-11-07"
"astro-ph/0210206","Maxim Lyutikov","Maxim Lyutikov (1), Dmitri Uzdensky (2) ((1) McGill University,
  Massachusetts Institute of Technology, CITA National Fellow), ((2) Kavli
  Institute for Theoretical Physics, UCSB)","Dynamics of relativistic reconnection","22 pages, 4 figures, submitted to ApJ","Astrophys.J. 589 (2003) 893-901","10.1086/374808",,"astro-ph physics.plasm-ph",,"  The dynamics of the steady-state Sweet--Parker-type reconnection is analyzed
in relativistic regime when energy density in the inflowing region is dominated
by magnetic field. The structure of reconnection layer (its thickness, inflow
and outflow velocities) depends on the ratio of two large dimensionless
parameters of the problem - magnetization parameter $\sigma \gg 1$ (the ratio
of the magnetic to particle energy-densities in the inflowing region) and the
Lundquist number $S$. The inflow velocity may be relativistic (for $ S<
\sigma$) or non-relativistic (for $ S > \sigma$), while the outflowing plasma
is moving always relativisticly. For extremely magnetized plasmas with $\sigma
\geq S^2$, the inflow four-velocity becomes of the order of the \Alfven
four-velocity.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:30:35 GMT""}]","2009-11-07"
"astro-ph/0210207","Peter Jones","P. B. Jones (University of Oxford)","Nature of fault planes in solid neutron star matter","5 AAS LaTeX pages 1 eps figure","Astrophys.J. 595 (2003) 342-345","10.1086/377351",,"astro-ph",,"  The properties of tectonic earthquake sources are compared with those deduced
here for fault planes in solid neutron-star matter. The conclusion that
neutron-star matter cannot exhibit brittle fracture at any temperature or
magnetic field is significant for current theories of pulsar glitches, and of
the anomalous X-ray pulsars and soft-gamma repeaters.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:16:49 GMT""}]","2009-11-07"
"astro-ph/0210208","David Valls-Gabaud","M.A. Hendry, H.M. Bryce and D. Valls-Gabaud","The microlensing signatures of starspots","12 pages, 10 figures, MNRAS 335, 539 (2002)","MNRAS 335, 539-549 (2002)","10.1046/j.1365-8711.2002.05496.x",,"astro-ph",,"  Point lens microlensing events with impact parameter close to the source
stellar radius allow the observer to study the surface brightness profile of
the lensed source. We have examined the effect of photospheric star spots on
multicolour microlensing lightcurves and investigated the detectability of such
spots in different wavebands as a function of spot temperature, position,
radius and lens trajectories. We include the effect of limb darkening and spot
projection as a function of position on the stellar disc. In particular we
apply the updated, state-of-the-art NEXTGEN stellar atmosphere models of
Hauschildt et al which predict very strong limb darkening and which are likely
to be applicable to the source stars considered here. Our results indicate that
star spots generally give a clear signature for transit events. Moreover, this
signature is strongly suppressed by limb darkening for spots close to the limb,
although the spots may still be clearly detected for favourable lens
trajectories. It is also clear that intensive temporal sampling throughout the
duration of the transit is necessary in order for such events to be effective
as a tool for imaging stellar photospheres. Nonetheless, with sufficiently well
sampled light curves of good photometric precision, microlensing can indeed
place useful constraints on the presence or otherwise of photospheric
starspots.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:51:30 GMT""}]","2009-11-07"
"cond-mat/0210155","Michael Lilly","M. P. Lilly, J. L. Reno, J. A. Simmons, I. B. Spielman, J. P.
  Eisenstein, L. N. Pfeiffer, K. W. West, E. H. Hwang, S. Das Sarma","Resistivity of dilute 2D electrons in an undoped GaAs heterostructure","4 pages, 4 figures","Phys. Rev. Lett. 90, 056806 (2003)","10.1103/PhysRevLett.90.056806",,"cond-mat.mes-hall cond-mat.str-el",,"  We report resistivity measurements from 0.03 K to 10 K in a dilute high
mobility 2D electron system. Using an undoped GaAs/AlGaAs heterojunction in a
gated field-effect transistor geometry, a wide range of densities, $0.16 \times
10^{10} {cm}^{-2}$ to $7.5 \times 10^{10} {cm}^{-2}$, are explored. For high
densities, the results are quantitatively shown to be due to scattering by
acoustic phonons and impurities. In an intermediate range of densities, a peak
in the resistivity is observed for temperatures below 1 K. This non-monotonic
resistivity can be understood by considering the known scattering mechanisms of
phonons, bulk and interface ionized impurities. Still lower densities appear
insulating to the lowest temperature measured.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 18:44:40 GMT""}]","2009-11-07"
"cond-mat/0210160","Yong Kim","Mi-Ae Park, Kerim Savran, and Yong-Jihn Kim (Univ. of Puerto Rico)","Different Behavior of Magnetic Impurities in Crystalline and Ammorphous
  States of Superconductors","7 figures, 20 pages, latex, to appear in Superconductor Science and
  Technology",,,,"cond-mat.mtrl-sci",,"  It has been observed that the effect of magnetic impurities in a
superconductor is drastically different depending on whether the host
superconductor is in a crystalline or an amorphous state. Based on the recent
theory of Kim and Overhauser (KO), it is shown that as the system is getting
disordered, the initial slope of the $T_{c}$ depression is decreasing by a
factor $\sqrt{\ell/\xi_{0}}$, when the mean free path $\ell$ becomes smaller
than the BCS coherence length $\xi_{0}$, which is in agreement with
experimental findings. In addition, for a superconductor in a crystalline state
in the presence of magnetic impurities the superconducting transition
temperature $T_{c}$ drops sharply from about 50% of $T_{c0}$ (for a pure
system) to zero near the critical impurity concentration. This {\sl pure limit
behavior} was indeed found by Roden and Zimmermeyer in crystalline Cd.
Recently, Porto and Parpia have also found the same {\sl pure limit behavior}
in superfluid He-3 in aerogel, which may be understood within the framework of
the KO theory.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 19:13:47 GMT""}]","2007-05-23"
