"astro-ph/0210617","Dan Hooper","Dan Hooper and Brenda Dingus","Limits on Supersymmetric Dark Matter From EGRET Observations of the
  Galactic Center Region","4 pages, 3 figures","Phys.Rev. D70 (2004) 113007","10.1103/PhysRevD.70.113007","MAD-PH-02-1310, LAUR-02-6743","astro-ph hep-ph",,"  In most supersymmetic models, neutralino dark matter particles are predicted
to accumulate in the Galactic center and annihilate generating, among other
products, gamma rays. The EGRET experiment has made observations in this
region, and is sensitive to gamma rays from 30 MeV to $\sim$30 GeV. We have
used an improved point source analysis including an energy dependent point
spread function and an unbinned maximum likelihood technique, which has allowed
us to significantly lower the limits on gamma ray flux from the Galactic
center. We find that the present EGRET data can limit many supersymmetric
models if the density of the Galactic dark matter halo is cuspy or spiked
toward the Galactic center. We also discuss the ability of GLAST to test these
models.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:24:14 GMT""}]","2009-11-07"
"astro-ph/0210641","Stacy McGaugh","S. McGaugh (Maryland), M. Barker (Florida), E. de Blok (Cardiff)","A Limit on the Cosmological Mass Density and Power Spectrum from the
  Rotation Curves of Low Surface Brightness Galaxies","Accepted for publication in ApJ, scheduled for v.584, February 20,
  2003 issue. 32 pages including 5 postscript figures","Astrophys.J. 584 (2003) 566-576","10.1086/345806",,"astro-ph",,"  The concentrations of the cuspy dark matter halos predicted by simulations of
cold dark matter are related to the cosmology in which the halos form.
Observational constraints on halo concentration therefore map into constraints
on cosmological parameters. In order to explain the observed concentrations of
dark matter dominated low surface brightness galaxies, we require a cosmology
with rather little power on galaxy scales. Formally, we require s_8 G_0.6 <
0.23, where G_0.6 is a modified shape parameter appropriate to this problem.
Practically, this means either Omega_m < 0.2 or s_8 < 0.8. These limits apply
as long as we insist that the cuspy halos found in simulations must describe
the halos of low surface brightness galaxies. A low density cosmology helps
with the low observed concentrations, but it offers no explanation of the many
cases where the shape of the density profile deviates from the predicted cuspy
form. These cases must have suffered very extensive mass redistribution if the
current halo formation picture is not to fail outright. It is far from clear
whether any of the mass redistribution mechanisms which have been suggested
(e.g., feedback) are viable.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 22:49:51 GMT""}]","2009-11-07"
"astro-ph/0210642","Daniel Proga","D. Proga (JILA, University of Colorado, Boulder, CO)","Numerical simulations of mass outflows driven from accretion disks by
  radiation and magnetic forces","30 pages, 4 figure (fig. 1 and fig. 2 in color), to appear in ApJ,
  ""see also http://rocinante.colorado.edu/~proga/""","Astrophys.J. 585 (2003) 406-417","10.1086/345897",,"astro-ph",,"  We study the two-dimensional, time-dependent MHD of radiation-driven winds
from luminous accretion disks initially threaded by a purely axial magnetic
field. The radiation force is mediated primarily by spectral lines. We use
ideal MHD to compute the evolution of Keplerian disks, varying the magnetic
field strengths and the luminosity of the disk, the central accreting object or
both. We find that the magnetic fields very quickly start deviating from purely
axial due to the magnetorotational instability. This leads to fast growth of
the toroidal magnetic field. As a result the toroidal field dominates over the
poloidal field above the disk and the gradient of the former drives a slow and
dense disk outflow, which conserves specific angular momentum. Depending on the
strength of the magnetic field relative to the system luminosity the disk wind
can be radiation- or MHD driven. The pure radiation-driven wind consists of a
dense, slow outflow that is bounded on the polar side by a high-velocity
stream. The mass-loss rate is mostly due to the fast stream. As the magnetic
field strength increases first the slow part of the flow is affected, namely it
becomes denser and slightly faster and begins to dominate the mass-loss rate.
In very strong magnetic field or pure MHD cases, the wind consists of only a
dense, slow outflow without the presence of the distinctive fast stream so
typical to pure radiation-driven winds. Our simulations indicate that winds
launched by the magnetic fields are likely to remain dominated by the fields
downstream because of their relatively high densities.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 23:06:02 GMT""}]","2009-11-07"
"astro-ph/0210643","Pieter van Dokkum","Pieter G. van Dokkum and S. A. Stanford","The Fundamental Plane at z=1.27: First Calibration of the Mass Scale of
  Red Galaxies at Redshifts z>1","Accepted for publication in the Astrophysical Journal","Astrophys.J.585:78-89,2003","10.1086/345989",,"astro-ph",,"  We present results on the Fundamental Plane (FP) of early-type galaxies in
the cluster RDCS J0848+4453 at z=1.27. Internal velocity dispersions of three
K-selected early-type galaxies are determined from deep Keck spectra.
Structural parameters are determined from HST NICMOS images. The galaxies show
substantial offsets from the FP of the nearby Coma cluster, as expected from
passive evolution of their stellar populations. The offsets from the FP can be
expressed as offsets in M/L ratio. The M/L ratios of the two most massive
galaxies are consistent with an extrapolation of results obtained at
z=0.02-0.83. The evolution of early-type galaxies with masses >10^11 M_sun is
well described by ln M/L(B) = (-1.06 +- 0.09) z, corresponding to passive
evolution of -1.50 +- 0.13 mag at z=1.3. Ignoring selection effects, the best
fitting stellar formation redshift is z*=2.6, corresponding to a luminosity
weighted age at the epoch of observation of ~2 Gyr. The M/L ratios of these two
galaxies are also in excellent agreement with predictions from models that
include progenitor bias. The third galaxy is a factor ~10 less massive than the
other two, shows strong Balmer absorption lines in its spectrum, and is offset
from the Coma Fundamental Plane by 2.9 mag in rest-frame B. Despite their large
range in M/L ratios, all three galaxies fall in the ``Extremely Red Object''
(ERO) class with I-H>3 and R-K>5, and our results show that it is hazardous to
use simple models for converting luminosity to mass for these objects.
Measurements of M/L ratios at high redshift can be considered first steps to
empirically disentangle luminosity and mass evolution at the high mass end of
the galaxy population, lifting an important degeneracy in the interpretation of
evolution of the luminosity function. [SHORTENED]
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 23:23:04 GMT""}]","2011-05-05"
"astro-ph/0210644","Lance Miller","L. Miller (1), A. M. Lopes (1), R. J. Smith (2), S. M. Croom (3), B.
  J. Boyle (3), T. Shanks (4), P. Outram (4) ((1) Dept. of Physics, Oxford
  University, (2) Astrophysics Research Institute, Liverpool John Moores
  University, (3) Anglo-Australian Observatory, (4) Dept. of Physics, Durham
  University.)","Possible arcminute-separation gravitational lensed QSOs in the 2dF QSO
  survey","Revised version accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.348:395,2004","10.1111/j.1365-2966.2004.07303.x",,"astro-ph",,"  We report the possible discovery of multiple gravitationally-lensed images of
QSOs with angular separations on arcminute scales. The QSOs were selected from
the completed 2dF QSO survey as having redshifts and optical colours which are
statistically consistent. In this paper we present higher-quality optical
spectra of the candidates and discuss the likelihood of their genuinely being
systems lensed by massive clusters of galaxies. From a comparison of the
spectra it appears that up to six pairs of QSOs may be lensed multiple images,
although the true number may be less than that and further observations should
be undertaken to amass more evidence and to detect the lensing clusters. Two of
the candidates may be associated with low redshift clusters of galaxies.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 23:23:27 GMT""},{""version"":""v2"",""created"":""Thu, 16 Oct 2003 17:21:21 GMT""}]","2011-03-10"
"astro-ph/0210645","Edo Berger","E. Berger (1), L. L. Cowie (2), S. R. Kulkarni (1), D. A. Frail (3),
  H. Aussel (2), A. J. Barger (2,4,5) ((1) Caltech, (2) IfA, Hawaii, (3) NRAO,
  (4) U. of Wisconsin-Madison, (5) U. of Hawaii)","A Submillimeter and Radio Survey of Gamma-Ray Burst Host Galaxies: A
  Glimpse into the Future of Star Formation Studies","Submitted to ApJ; 36 pages, 3 tables, 7 figures; updated references","Astrophys.J. 588 (2003) 99-112","10.1086/373991",,"astro-ph",,"  We present the first comprehensive search for submillimeter and radio
emission from the host galaxies of twenty well-localized gamma-ray bursts
(GRBs). With the exception of a single source, all observations were undertaken
months to years after the GRB explosions to ensure negligible contamination
from the afterglows. We detect the host galaxy of GRB 000418 in both the sub-mm
and radio, and the host galaxy of GRB 000210 only in the sub-mm. These
observations, in conjunction with the previous detections of the host galaxies
of GRB 980703 and GRB 010222, indicate that about 20% of GRB host galaxies are
ultra-luminous and have star formation rates of about 500 M_sun/yr. As an
ensemble, the non-detected hosts have a star formation rate of about 100
M_sun/yr (5-sigma) based on their radio emission. The detected and ensemble
star formation rates exceed the optical values by an order of magnitude,
indicating significant dust obscuration. In the same vein, the ratio of
bolometric dust luminosity to UV luminosity for the hosts detected in the
sub-mm and radio ranges from 20-800, and follows the known trend of increasing
obscuration with increasing bolometric luminosity. We also show that, both as a
sample and individually, the GRB host galaxies have bluer R-K colors as
compared with galaxies selected in the sub-mm in the same redshift range. This
possibly indicates that the stellar populations in the GRB hosts are on average
younger, supporting the massive stellar progenitor scenario for GRBs, but it is
also possible that GRB hosts are on average less dusty.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 01:15:38 GMT""},{""version"":""v2"",""created"":""Fri, 1 Nov 2002 16:53:28 GMT""}]","2009-11-07"
"astro-ph/0210646","Luc Binette","L. Binette, D. Gonzalez-Gomez, Y. D. Mayya","Density gradients and internal dust in the Orion nebula","7 figures, 10 pages","Revista Mexicana de Astronomia y Astrofisica, 2002, V. 38, p.
  279-288",,,"astro-ph",,"  The ionization structure of the Orion nebula can be described as a skin-like
ionization structure on the surface of a dense cloud. We propose that a steep
density stratification, increasing as a powerlaw ($n \propto x^{-2}$) function
of distance x from the ionization front, exhibits properties which agree with
our long-slit spectrum of the Orion nebula. For instance, there exist a unicity
relation between both the Hbeta surface brightness or the ionization front
[SII] density, and the scale L of the powerlaw, where L is the distance between
the ionization front and the onset of the density near the exciting star.
Internal dust is required to obtain a simultaneous acceptable fit of both the
[SII] density and then Hbeta suface brightness observations. Nebular models
containing small dust grains provide a better fit than large grains. The line
ratio gradients observed along the slit are qualitatively reproduced by our
density stratified models assuming a stellar temperature of 38000 K.
Collisional deexcitation appears to be responsible for half of the gradient
observed in the [NII] 5755/6583 temperature sensitive ratio. We propose that
the empirical relationship found by Wen & O'dell between density and stellar
distance may possibly be caused by a power-law density stratification.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 02:56:57 GMT""}]","2007-05-23"
"astro-ph/0210647","Danny Steeghs","D.Steeghs, M.Perryman, A.Reynolds, J.H.J.de Bruijne, T.Marsh,
  V.S.Dhillon and A.Peacock","High-speed energy-resolved STJ photometry of the eclipsing dwarf nova IY
  UMa","7 pages, 6 figures, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 339 (2003) 810","10.1046/j.1365-8711.2003.06226.x",,"astro-ph",,"  We present high time-resolution photometry of the dwarf nova IY UMa using the
S-Cam2 super-conducting tunnel junction device attached to the 4.2m William
Herschel Telescope on La Palma. Exploiting the well-defined white dwarf and hot
spot eclipse features, we derive an updated orbital ephemeris for IY UMa and an
orbital period of 0.07390897(5) days. A white dwarf ingress/egress duration of
31 +/- 2s along with the contact phases of the bright spot gives M_1=0.79 +/-
0.04 M_sun and M_2=0.10 +/- 0.01 Msun, corresponding to a mass ratio of q=0.125
+/- 0.008. The white dwarf eclipse width of 0.0637 then implies i=86.0 +/- 1
degrees. A curious rise with a duration of 30 +/- 2s is observed in the orbital
lightcurves during all three observed eclipses. It occurs between the end of
white dwarf ingress and hot spot ingress and is blue in colour. We suggest that
the source of this light lies in the buried part of the gas stream, resulting
in a compact, hot impact cavity.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 04:31:49 GMT""}]","2009-11-07"
"astro-ph/0210648","Carlo Luciano Bianco","R. Ruffini, C.L. Bianco, P. Chardonnet, F. Fraschetti, S.-S. Xue","On the structures in the afterglow peak emission of gamma ray bursts","AASTeX, 14 pages, 5 figures, to appear on Ap. J. Letters","Astrophys.J. 581 (2002) L19-L22","10.1086/345804",,"astro-ph",,"  Using GRB 991216 as a prototype, it is shown that the intensity substructures
observed in what is generally called the ""prompt emission"" in gamma ray bursts
(GRBs) do originate in the collision between the accelerated baryonic matter
(ABM) pulse with inhomogeneities in the interstellar medium (ISM). The initial
phase of such process occurs at a Lorentz factor $\gamma\sim 310$. The crossing
of ISM inhomogeneities of sizes $\Delta R\sim 10^{15}$ cm occurs in a detector
arrival time interval of $\sim 0.4$ s implying an apparent superluminal
behavior of $\sim 10^5c$. The long lasting debate between the validity of the
external shock model vs. the internal shock model for GRBs is solved in favor
of the first.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 09:45:18 GMT""}]","2009-11-07"
"astro-ph/0210649","Graham Woan","G. Woan (for the GEO Collaboration)","The GEO600 Gravitational Wave Detector -- Pulsar Prospects","4 pages, 2 figures, to appear in ASP Conf. Ser., Radio Pulsars, ed.
  M. Bailes, D. J. Nice, & S. E. Thorsett (proceedings of August 2002 meeting
  in Crete)",,,,"astro-ph",,"  The GEO600 laser-interferometric gravitational wave detector near Hannover,
Germany, is one of six such interferometers now close to operation worldwide.
The UK/German GEO collaboration uses advanced technologies, including
monolithic silica suspensions and signal recycling, to deliver a sensitivity
comparable with much larger detectors in their initial configurations. Here we
review the design and performance of GEO600 and consider the prospects for a
direct detection of continuous gravitational waves from spinning neutron stars.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 10:28:12 GMT""}]","2019-08-14"
"astro-ph/0210650","Gloria Andreuzzi","M. Monelli (1), G. Andreuzzi (2), G. Bono (2), R. Buonanno (1), F.
  Caputo (2), M. Castellani (2), V. Castellani (2), C. E. Corsi (2), M. Dall'
  Ora (1), G. Marconi (3), L. Pulone (2), V. Ripepi (4), J. Storm (5), V. Testa
  (2) ((1) Universita' di Roma Tor Vergata, (2) INAF-Osservatorio Astronomico
  di Roma, (3) ESO-Chile, (4) INAF-Osservatorio Astronomico di Napoli, (5)
  Postdam Observatory)","Multiwavelength Time Series Data of the LMC Cluster Reticulum","2 pages, 1 figure, uses newpasp.sty, to be published in ``New
  Horizons in Globular Cluster Astronomy'', ASP Conference Series, 2002; Eds.:
  G. Piotto, G. Meylan, G. Djorgowski and M. Riello",,,,"astro-ph",,"  We present accurate multiwavelength UBVI time series data of the LMC cluster
Reticulum. Data cover a time interval of ~ 6 yr and have been collected with
SUSI1/2 and SOFI at NTT/ESO. For each band we collected approximately 30
short/long exposures and the total exposure times range from roughly 3500 (U,
B), 6000s (V) to 8300s (I). The observing strategy and data reduction
(DAOPHOTII/ALLFRAME) allowed us to reach a photometry accuracy of 0.02
magnitude from the tip of the Red Giant Branch well below the Turn-Off region.
Even though this cluster presents a very low central density, we found a
sizable sample of Blue Stragglers (BSs). We also selected stars with a
variability index larger than 2, and interestingly enough we detected together
with the RR Lyrae stars a large sample of variable stars around and below the
TO region. Preliminary analysis on the luminosity variation indicate that these
objects might be binary stars.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 10:31:55 GMT""}]","2007-05-23"
"astro-ph/0210651","Enrico Piconcelli","E. Piconcelli (1), L. Bassani (1), M. Cappi (1), F. Fiore (2), G. Di
  Cocco (1), J.B. Stephen (1) ((1) IASF-CNR Bologna, (2) Osservatorio di Roma)","An XMM-Newton Study of Hard X-ray Sources","Proceedings for the ""X-ray Surveys: in the light of new
  observatories"" Workshop (to be published in Astron. Nachrichten; includes
  anabs.cls style file). One page and two figures",,"10.1002/asna.200310060",,"astro-ph",,"  We briefly report on an on-going spectroscopic study of hard X-ray sources
selected serendipitously in 12 XMM-Newton fields. Results for the analysis of
the 41 sources from the first seven EPIC observations have been discussed in a
previous paper (Piconcelli et al. 2002, Paper I) where we found an absolute
fraction of X-ray absorbed sources (~30%) lower than expected (~50%) by the
predictions of popular CXB synthesis models at F(2-10)~5x10**(-14) erg cm**-2
s**-1. We present here the preliminary results concerning the whole sample
including five new deeper XMM-Newton measurements increasing the sample to 90
sources. Even if still on-going, the present study appears to confirm and
extend down to F(2-10)~10**(-14) erg cm**-2 s**-1 the above mismatch between
observational data and theoretical expectations regarding the fraction of
absorbed sources. Furthermore the sample average spectral index of 1.5-1.6 is
steeper than the CXB slope indicating that the majority of obscured sources
making the bulk of the CXB resides at even lower hard X-ray fluxes.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 11:08:09 GMT""}]","2015-06-24"
