"astro-ph/0203520","David Polarski","David Blais, Claus Kiefer and David Polarski","Can Primordial Black Holes be a Significant Part of Dark Matter ?","10 pages, 3 figures; one typo corrected, version to appear in Phys.
  Lett. B","Phys.Lett. B535 (2002) 11-16","10.1016/S0370-2693(02)01803-8",,"astro-ph gr-qc",,"  The computation of PBH (primordial black hole) production from primordial
perturbations has recently been improved by considering a more accurate
relation between the primordial power spectrum and the PBH mass variance. We
present here exact expressions which are valid for primordial spectra of
arbitrary shape and which allow accurate numerical calculations. We then
consider the possibility to have a significant part of dark matter in the form
of PBHs produced by a primordial spectrum of inflationary origin possessing a
characteristic scale. We show that in this model the relevant PBH mass is
constrained to lie in the range $5\times 10^{15} {\rm g}\lesssim M \lesssim
10^{21} {\rm g}$. This is much less than the mass range coming from the QCD
phase transition, allowing the two mechanisms to be easily distinguished.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 17:21:33 GMT""},{""version"":""v2"",""created"":""Thu, 25 Apr 2002 12:32:09 GMT""}]","2009-11-07"
"cond-mat/0203614","Kabanov V. V.","D.Dvorsek, V.V.Kabanov, J.Demsar, S.M.Kazakov J.Karpinski and
  D.Mihailovic","Femtosecond quasiparticle relaxation dynamics and probe polarization
  anisotropy in YBa2Cu4O8","4 pages, 4 figures","Phys. Rev. B 66, 020510 (2002)","10.1103/PhysRevB.66.020510",,"cond-mat.supr-con cond-mat.str-el",,"  Femtosecond pump probe experiments are reported on quasiparticle relaxation
and recombination in YBa2Cu4O8 as a function of temperature and polarization.
The data show a 2-component relaxation similar to YBa2Cu3O7-\delta, one
component being assocated with the superconducting transition, and the other
with the pseudogap below T* The relaxation time tau_p associated with the
pseudogap is found to be T-independent, while the relaxation time tau_g of the
component obseved only below Tc exhibits a clear divergence near Tc. A strong
polarisation anisotropy of the picosecond transient is observed below Tc which
is attributed to the anisotropy of the probe transition matrix elements.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 16:21:31 GMT""},{""version"":""v2"",""created"":""Mon, 27 May 2002 13:39:37 GMT""}]","2008-11-19"
"cond-mat/0203615","Pieder Beeli","Pieder Beeli","An Intuitive and Exact Steady-State Electrodynamic Formalism for
  Uniaxial Multilayered Structures: Normal Incidence","16 pages 11 figures",,,,"cond-mat.mtrl-sci cond-mat.supr-con",,"  Exact expressions for all the steady-state fields (E, H, D, B) in uniaxial
linear media composed of an arbitrary number of layers having arbitrary
thicknesses subjected to normal incidence are derived. Generic boundary
condition relations in terms of the surface wave impedance are applied at each
surface so that fields between any sequence of layers can be related by a
cascaded multiplication of transfer functions. With the substitution of the
appropriate surface wave impedance for the generic surface wave impedance,
these generic transfer functions can be made to represent any reflection or
transmission of a wave across any boundary. This formalism obviates the need to
solve a large set of equations or an infinite series of reflections and
transmissions, which has been the traditional approach in solving such
problems. A numerically robust exact expression for the power dissipating in
any uniaxial layer is also provided. Examples of the analysis of multilayered
systems are given. Although the development is devoted to electromagnetic
waves, the methodology and expressions are transferable to acoustical waves,
and to some extent, the quantum mechanical wave function.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 16:44:33 GMT""}]","2007-05-23"
"cond-mat/0203619","Peter M. Gehring","P.M. Gehring, S. Wakimoto, Z.-G. Ye, and G. Shirane","Ferroelectric Dynamics in the Perovskite Relaxor PMN","10 pages, 7 figures, Conference - Fundamental Physics of
  Ferroelectrics 2002",,"10.1063/1.1499556",,"cond-mat.mtrl-sci",,"  We review results obtained from recent neutron scattering studies of the
lead-oxide class of perovskite relaxors PMN and PZN. A ferroelectric soft mode
has been identified in PMN at 1100 K that becomes overdamped near 620 K. This
is the same temperature at which polar nanoregions (PNR) begin to form, denoted
by Td, and suggests that a direct connection exists between the soft mode and
the PNR. The appearance of diffuse scattering intensity at Td reported by
Naberezhnov et al. lends further support to this picture. At lower temperature
the soft mode in PMN reappears close to Tc = 213 K (defined only for E > Ec).
These results are provocative because the dynamics below Tc are characteristic
of an ordered ferroelectric state, yet they occur in a system that remains
cubic on average at all temperatures. We discuss a coupled-mode model that
successfully describes these data as well as those from earlier lattice
dynamical studies of other perovskites such as BaTiO3.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:00:06 GMT""}]","2009-11-07"
"cond-mat/0203620","YounJoon Jung","YounJoon Jung and Jianshu Cao","Spectral analysis of electron transfer kinetics II","submitted for a publication in Journal of Chemical Physics","Journal of Chemical Physics, vol. 117, pp. 3822-3836, 2002","10.1063/1.1491241",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  Electron transfer processes in Debye solvents are studied using a spectral
analysis method recently proposed. Spectral structure of a nonadiabatic
two-state diffusion equation is investigated to reveal various kinetic regimes
characterized by a broad range of physical parameters; electronic coupling,
energy bias, reorganization energy, and solvent relaxation rate. Within this
unified framework, several kinetic behaviors of the electron transfer kinetics,
including adiabatic Rabi oscillation, crossover from the nonadiabatic to
adiabatic limits, transition from the incoherent to coherent kinetic limits,
and dynamic bath effect, are demonstrated and compared with results from
previous theoretical models. Dynamics of the electron transfer system is also
calculated with the spectral analysis method. It is pointed out that in the
large reorganization energy case the nonadiabatic diffusion equation exhibits a
non-physical behavior, yielding a negative eigenvalue.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:12:10 GMT""}]","2009-11-07"
"cond-mat/0204001","Sebastian Eggert","Sebastian Eggert, Ian Affleck, and Matthew D.P. Horton","Neel order in doped quasi one-dimensional antiferromagnets","4 pages in revtex4 format including 2 epsf-embedded figures. The
  latest version in PDF format is available from
  http://fy.chalmers.se/~eggert/papers/staggered.pdf","Phys. Rev. Lett. 89, 47202 (2002).","10.1103/PhysRevLett.89.047202",,"cond-mat.str-el",,"  We study the Neel temperature of quasi one-dimensional S=1/2 antiferromagnets
containing non-magnetic impurities. We first consider the temperature
dependence of the staggered susceptibility of finite chains with open boundary
conditions, which shows an interesting difference for even and odd length
chains. We then use a mean field theory treatment to incorporate the three
dimensional inter-chain couplings. The resulting Neel temperature shows a
pronounced drop as a function of doping by up to a factor of 5.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 21:00:05 GMT""}]","2009-11-07"
"cond-mat/0204002","Pengcheng Dai","H. A. Mook, Pengcheng Dai, S. M. Hayden, A. Hiess, J. W. Lynn, S.-H.
  Lee, and F. Dogan","Magnetic Order in YBa$_2$Cu$_3$O$_{6+x}$ Superconductors","11 pages with 10 figures",,"10.1103/PhysRevB.66.144513",,"cond-mat.supr-con cond-mat.str-el",,"  Polarized and unpolarized neutron diffraction has been used to search for
magnetic order in YBa$_2$Cu$_3$O$_{6+x}$ superconductors. Most of the
measurements were made on a high quality crystal of YBa$_2$Cu$_3$O$_{6.6}$. It
is shown that this crystal has highly ordered ortho-II chain order, and a sharp
superconducting transition. Inelastic scattering measurements display a very
clean spin-gap and pseudogap with any intensity at 10 meV being 50 times
smaller than the resonance intensity. The crystal shows a complicated magnetic
order that appears to have three components. A magnetic phase is found at high
temperatures that seems to stem from an impurity with a moment that is in the
$a$-$b$ plane, but disordered on the crystal lattice. A second ordering occurs
near the pseudogap temperature that has a shorter correlation length than the
high temperature phase and a moment direction that is at least partly along the
c-axis of the crystal. Its moment direction, temperature dependence, and Bragg
intensities suggest that it may stem from orbital ordering of the $d$-density
wave (DDW) type. An additional intensity increase occurs below the
superconducting transition. The magnetic intensity in these phases does not
change noticeably in a 7 Tesla magnetic field aligned approximately along the
c-axis. Searches for magnetic order in YBa$_2$Cu$_3$O$_{7}$ show no signal
while a small magnetic intensity is found in YBa$_2$Cu$_3$O$_{6.45}$ that is
consistent with c-axis directed magnetic order. The results are contrasted with
other recent neutron measurements.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 21:00:40 GMT""}]","2009-11-07"
"cond-mat/0204003","Tonica Valla","T. Valla, P. D. Johnson, Z. Yusof, B. Wells, Q. Li, S. M. Loureiro, R.
  J. Cava, M. Mikami, Y. Mori, M. Yoshimura and T. Sasaki","Coherence-Incoherence and Dimensional Crossover in Layered Strongly
  Correlated Metals",,"Nature 417, 627 (2002)","10.1038/nature00774",,"cond-mat.str-el cond-mat.supr-con",,"  Correlations between electrons and the effective dimensionality are crucial
factors that shape the properties of an interacting electron system. For
example, the onsite Coulomb repulsion, U, may inhibit, or completely block the
intersite electron hopping, t, and depending on the ratio U/t, a material may
be a metal or an insulator. The correlation effects increase as the number of
allowed dimensions decreases. In 3D systems, the low energy electronic states
behave as quasiparticles (QP), while in 1D systems, even weak interactions
break the quasiparticles into collective excitations. Dimensionality is
particularly important for a class of new exotic low-dimensional materials
where 1D or 2D building blocks are loosely connected into a 3D whole. Small
interactions between the blocks may induce a whole variety of unusual
transitions. Here, we examine layered systems that in the direction
perpendicular to the layers display a crossover from insulating-like, at high
temperatures, to metallic-like character at low temperatures, while being
metallic over the whole temperature range within the layers. We show that this
change in effective dimensionality correlates with the existence or
non-existence of coherent quasiparticles within the layers.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 21:04:34 GMT""},{""version"":""v2"",""created"":""Thu, 11 Apr 2002 15:46:11 GMT""}]","2007-05-23"
"cond-mat/0204004","Chang-Beom Eom","S. D. Bu (a), D. M. Kim (a), J. H. Choi (a)(b), J. Giencke, S. Patnaik
  (b), L. Cooley (b), E. E. Hellstrom (a)(b), D. C. Larbalestier (a)(b) and C.
  B. Eom (a)(b) ((a) Department of Materials Science and Engineering, (b)
  Applied Superconductivity Center, University of Wisconsin-Madison); J.
  Lettieri, D.G. Schlom (Department of Materials Science and Engineering, The
  Pennsylvania State University); W. Tian, X. Pan (Department of Materials
  Science and Engineering, University of Michigan Ann Arbor)","Synthesis and Properties of c-axis Oriented Epitaxial MgB2 Thin Films","10 pages, 6 figures",,"10.1063/1.1504490",,"cond-mat.supr-con cond-mat.mtrl-sci",,"  We report the growth and properties of epitaxial MgB2 thin films on (0001)
Al2O3 substrates. The MgB2 thin films were prepared by depositing boron films
via RF magnetron sputtering, followed by a post-deposition anneal at 850C in
magnesium vapor. X-ray diffraction and cross-sectional TEM reveal that the
epitaxial MgB2 films are oriented with their c-axis normal to the (0001) Al2O3
substrate and a 30 degree rotation in the ab-plane with respect to the
substrate. The critical temperature was found to be 35 K and the anisotropy
ratio, Hc2(parallel to the film) / Hc2(pendicular to the film), about 3 at 25K.
The critical current densities at 4.2 K and 20 K (at 1 T perpendicular magnetic
field) are 5x10E6 A/cm2 and 1x10E6 A/cm2, respectively. The controlled growth
of epitaxial MgB2 thin films opens a new avenue in both understanding
superconductivity in MgB2 and technological applications.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 22:15:28 GMT""}]","2009-11-07"
"cond-mat/0204005","Graeme J. Ackland","N.D.Drummond and G.J.Ackland","quasiharmonic equations of state for dynamically-stabilized soft-mode
  materials",,,"10.1103/PhysRevB.65.184104",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  We introduce a method for treating soft modes within the analytical framework
of the quasiharmonic equation of state. The corresponding double-well
energy-displacement relation is fitted to a functional form that is harmonic in
both the low- and high-energy limits. Using density-functional calculations and
statistical physics, we apply the quasiharmonic methodology to solid periclase.
We predict the existence of a B1--B2 phase transition at high pressures and
temperatures.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 22:24:41 GMT""}]","2009-11-07"
"cond-mat/0204006","Sergio Moehlecke","S. Moehlecke, Pei-Chun Ho, and M. B. Maple","Coexistence of superconductivity and ferromagnetism in the
  graphite-sulfur system","17 pages, 6 figures, to be published in Phil. Mag. Lett",,"10.1080/13642810210146443",,"cond-mat.supr-con",,"  Superconducting characteristics such as the Meissner-Ochsenfeld state,
screening supercurrents and hysteresis loops of type-II superconductors were
observed from the temperature and magnetic field dependences of the magnetic
moment, m(T, H), in graphite powders reacted with sulfur for temperatures below
9.0 K. The temperature dependence of the lower critical field Hc1(T) was
determined and the zero-temperature penetration depth, lambda(0), was estimated
(lambda (0) = 227 nm). The superconductivity was observed to be highly
anisotropic and to coexist with a ferromagnetic state that has a Curie
temperature well above room temperature. A continuous transition from the
superconducting state to the ferromagnetic state could be achieved by simply
increasing the applied magnetic field.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 22:55:39 GMT""}]","2009-11-07"
