"astro-ph/0209192","Gianfranco Bertone","Gianfranco Bertone, Claudia Isola, Martin Lemoine, Guenter Sigl","Ultra-High Energy Heavy Nuclei Propagation in Extragalactic Magnetic
  Fields","10 pages, 16 figures, submitted to PRD","Phys.Rev. D66 (2002) 103003","10.1103/PhysRevD.66.103003",,"astro-ph hep-ph",,"  We extend existing work on the propagation of ultra-high energy cosmic rays
in extragalactic magnetic fields to a possible component of heavy nuclei,
taking into account photodisintegration, pion production, and creation of e+e-
pairs. We focus on the influence of the magnetic field on the spectrum and
chemical composition of observed ultra-high energy cosmic rays. We apply our
simulations to the scenarios proposed by Anchordoqui et al, in which Iron
nuclei are accelerated in nearby starburst galaxies, and show that it is in
marginal agreement with the data. We also show that it is highly unlikely to
detect He nuclei from M87 at the highest energies observed $\sim3 10^{20} $eV
as required for the scenario of Ahn et al. in which the highest energy cosmic
rays originate from M87 and are deflected in a Parker spiral Galactic magnetic
field.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:58:44 GMT""}]","2009-11-07"
"astro-ph/0209224","Karl Haisch Jr.","K.E. Haisch Jr. (1), M. Barsony (2), T.P. Greene (1), M.E. Ressler (2)
  ((1) NASA Ames Research Center, (2) JPL)","An Infrared Multiplicity Survey of Class I/Flat-Spectrum Systems in the
  Rho Ophiuchi and Serpens Molecular Clouds","30 pages, 10 figures, 4 tables, accepted for publication in the AJ",,"10.1086/344175",,"astro-ph",,"  We present new near- and mid-infrared observations of 19 Class
I/flat-spectrum young stellar objects in the nearby Rho Oph (d=125pc) and
Serpens (d=310pc) dark clouds. These observations are part of a larger
systematic infrared multiplicity survey of Class I/flat-spectrum objects in the
nearest dark clouds. We find 7/19 (37% +/- 14%) of the sources surveyed to be
multiple systems over a separation range of ~150 - 1800 AU. This is consistent
with the fraction of multiple systems found among older pre-main-sequence stars
in each of the Taurus, Rho Oph, Chamaeleon, Lupus, and Corona Australis
star-forming regions over a similar separation range. However, solar-type
main-sequence stars in the solar neighborhood have a fraction approximately
one-third that of our Class I/flat- spectrum sample (11% +/- 3%). This may be
attributed to evolutionary effects or environmental differences. An examination
of the spectral energy distributions of the SVS 20 and WL 1 binaries reveals
that the individual components of each source exhibit the same SED
classifications, similar to what one typically finds for binary T Tauri star
(TTS) systems, where the companion of a classical TTS also tends to be of the
same SED type.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 17:42:06 GMT""}]","2009-11-07"
"astro-ph/0209226","Naomi Ota","Naomi Ota (1,3), Makoto Hattori (2), Etienne Pointecouteau (2), and
  Kazuhisa Mitsuda (3) ((1)Tokyo Metropolitan University, (2)Tohoku University,
  (3)ISAS)","Chandra Spectroscopy and Mass Estimation of the Lensing Cluster of
  Galaxies CL0024+17","4 pages, 2 figures. Submitted to the proceedings of the 8th IAU
  Asian-Pasific Regional Meeting Volume 1",,,,"astro-ph",,"  We present the X-ray analysis and the mass estimation of the lensing cluster
of galaxies CL0024+17 with Chandra. We found that the temperature profile is
consistent with being isothermal and the average X-ray temperature is 4.47
(+0.83, -0.54) keV. The X-ray surface brightness profile is represented by the
sum of emissions associated with the central three bright elliptical galaxies
and the emission from intracluster medium (ICM) which can be well described by
a spherical beta-model. Assuming the ICM to be in the hydrostatic equilibrium,
we estimated the X-ray mass and found it is significantly smaller than the
strong lensing mass by a factor of 3.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 21:02:29 GMT""}]","2007-05-23"
"astro-ph/0209227","Kristen Menou","James Y-K. Cho, Kristen Menou, Brad Hansen, Sara Seager","Changing Face of the Extrasolar Giant Planet, HD 209458b","6 pages, 1 ps figure, 2 low-res color figures (JPEG). Figure 3
  updated. Contact authors for hi-res versions of color figures. Accepted for
  publication in ApJL","Astrophys.J. 587 (2003) L117-L120","10.1086/375016",,"astro-ph",,"  High-resolution atmospheric flow simulations of the tidally-locked extrasolar
giant planet, HD 209458b, show large-scale spatio-temporal variability. This is
in contrast to the simple, permanent day/night (i.e., hot/cold) picture. The
planet's global circulation is characterized by a polar vortex in motion around
each pole and a banded structure corresponding to ~3 broad zonal (east-west)
jets. For very strong jets, the circulation-induced temperature difference
between moving hot and cold regions can reach up to ~1000 K, suggesting that
atmospheric variability could be observed in the planet's spectral and
photometric signatures.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 21:50:22 GMT""},{""version"":""v2"",""created"":""Wed, 12 Mar 2003 15:33:34 GMT""}]","2009-11-07"
"astro-ph/0209228","Andrei M. Beloborodov","Andrei M. Beloborodov (CITA)","Neutron-Fed Afterglows of Gamma-Ray Bursts","accepted to ApJ Letters","Astrophys.J. 585 (2003) L19-L22","10.1086/374258",,"astro-ph",,"  Fireballs of gamma-ray bursts are partially made of free neutrons. Their
presence crucially changes the mechanism of the fireball deceleration by an
external medium. At late stages of the explosion, neutrons fully decouple from
ions and coast with a constant Lorentz factor \Gamma_n. As the ion fireball
decelerates, the neutrons form a leading front. This front gradually decays,
leaving behind a trail of decay products mixed with the ambient medium. The
kinetic energy of the decay products far exceeds the medium rest-mass energy,
and the trail has a high Lorentz factor at radii R < R_{trail} = 10R_\beta
\approx 10^{17} cm where R_\beta = 10^{16}(\Gamma_n/300) cm is the mean radius
of neutron decay. The ion fireball sweeps up the trail material and drives a
shock wave in it. Thus, observed afterglow emission is produced in the neutron
trail. It can naturally re-brighten or display a spectral transition at R
\approx R_{trail} where the impact of neutrons turns off. Absence of any
neutron signatures would point to an extremely low baryon loading of the
fireballs and a strong dominance of a Poynting flux.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 21:59:55 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 18:50:55 GMT""},{""version"":""v3"",""created"":""Thu, 23 Jan 2003 16:50:30 GMT""}]","2009-11-07"
"astro-ph/0209229","Joseph A. Collins","J. A. Collins, J. M. Shull (Colorado), and M. L. Giroux (East
  Tennessee State)","A Survey of FUSE and HST Sightlines through High-Velocity Cloud Complex
  C","50 pages, 17 figures. Accepted to ApJ. Previous version was the first
  submitted manuscript","Astrophys.J. 585 (2003) 336-354","10.1086/345949",,"astro-ph",,"  Using archival Far Ultraviolet Spectroscopic Explorer (FUSE) and Hubble Space
Telescope (HST) data, we have assembled a survey of eight sightlines through
high-velocity cloud Complex C. Abundances of the observed ion species vary
significantly for these sightlines, indicating that Complex C is not well
characterized by a single metallicity. Reliable metallicities based on [OI/HI]
range from 0.1-0.25 solar. Metallicities based on [SII/HI] range from 0.1-0.6
solar, but the trend of decreasing abundance with HI column density indicates
that photoionization corrections may affect the conversion to [S/H]. We present
models of the dependence of the ionization correction on HI column density;
these ionization corrections are significant when converting ion abundances to
elemental abundances for S, Si, and Fe. The measured abundances in this survey
indicate that parts of the cloud have a higher metallicity than previously
thought and that Complex C may represent a mixture of ``Galactic fountain'' gas
with infalling low-metallicity gas. We find that [S/O] and [Si/O] have a solar
ratio, suggesting little dust depletion. Further, the measured abundances
suggest an over-abundance of O, S, and Si relative to N and Fe. The enhancement
of these alpha-elements suggests that the bulk of the metals in Complex C were
produced by Type II supernovae and then removed from the star-forming region,
possibly via supernovae-driven winds or tidal stripping, before the ISM could
be enriched by N and Fe.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 22:04:04 GMT""},{""version"":""v2"",""created"":""Mon, 4 Nov 2002 22:16:11 GMT""}]","2009-11-07"
"astro-ph/0209230","Georges Meylan","E. Giraud (1), G. Meylan (2), M. Sapinski (1), A. Falvard (1), A.
  Jacholkowska (1), K. Jedamzik (3), J. Lavalle (1), E. Nuss (1), G. Moultaka
  (3), F. Piron (1), P. Salati (4), and R. Taillet (4) ((1) GAM, Montpellier,
  France; (2) STScI, Baltimore, USA; (3) LPMT, Montpellier, France; (4) LAPTH,
  Annecy, France)","High energy photon flux prediction from neutralino annihilation in the
  globular cluster Palomar 13","A 2-page poster to be published in ``Astronomy, Cosmology and
  Fundamental Physics'', the proceedings of the ESO-CERN-ESA Symposium, eds. P.
  A. Shaver, L. Di Lella, and A. Gimenez",,"10.1007/10857580_49",,"astro-ph",,"  The distant globular cluster Palomar 13 has been found to have a very high
mass-to-light ratio and its profile can be well fitted either by a King model
with a tail, or with a NFW model. This cluster may be the first case of the
many clumps predicted by CDM simulations that would not be disrupted by the
galactic halo potential. We make the hypothesis that Pal 13 is made of
neutralinos and run the DarkSuspect code to estimate the high-energy photon
flux due to the annihilation of neutralinos through various channels in some
benchmark scenarios. These low fluxes may be used as targets to be reached in
proposals for future ground-based high altitude Cerenkov telescopes.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 22:18:00 GMT""}]","2009-11-07"
"astro-ph/0209231","Armen Atoyan","Armen M. Atoyan (U Montreal), Charles D. Dermer (NRL)","Neutral Beams from Blazar Jets","to appear in ApJ 586, No.1, March 20 issue","Astrophys.J. 586 (2003) 79-96","10.1086/346261",,"astro-ph",,"  We treat the production of neutrons, photons, and neutrinos through
photomeson interactions of relativistic protons with ambient photons in the
compact inner jets of blazars. We show that the presence of the external UV
radiation field makes possible strong energy losses already for protons with
energies > 1 PeV, while without this component effective energy losses of
protons begin only at E > 10^{18} eV. We develop a model describing the
production and escape of neutrons from a comoving spherical blob, which
continue to interact with the ambient external radiation field on the
parsec-scale broad line region (BLR). Neutrons may carry ~10% of the overall
energy of the protons accelerated beyond E ~ 1 PeV outside the BLR. Ultra-high
energy (UHE) gamma rays produced in photomeson interactions of neutrons outside
the blob can also escape the BLR. The escaping neutrons, gamma rays and
neutrinos form a collimated neutral beam with a characteristic opening angle ~
1/Gamma, where Gamma is the bulk Lorentz factor of the inner jet. The energy
and the momentum of such beam is then mostly deposited in the extended jet due
to neutron decay at distances ~ (E_n/10^{17} eV}) kpc, and through
pair-production attenuation of gamma rays with energies E_g ~ 10^{15}-10^{18}
eV which can propagate to distances beyond (10-100) kpc. In this scenario,
neutral beams of UHE gamma rays and neutrons can be the reason for straight
extended jets such as in Pictor A. Fluxes of neutrinos detectable with km-scale
neutrino telescopes are predicted from flat spectrum radio quasars such as 3C
279.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 00:57:48 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jan 2003 19:27:23 GMT""}]","2009-11-07"
"astro-ph/0209232","Giovanni Amelino-Camelia","Giovanni Amelino-Camelia","Kinematical solution of the UHE-cosmic-ray puzzle without a preferred
  class of inertial observers","LaTex (revtex), 9 pages","Int.J.Mod.Phys.D12:1211-1226,2003","10.1142/S0218271803003645",,"astro-ph gr-qc",,"  Among the possible explanations for the puzzling observations of cosmic rays
above the GZK cutoff there is growing interest in the ones that represent
kinematical solutions, based either on general formulations of particle physics
with small violations of Lorentz symmetry or on a quantum-gravity-motivated
scheme for the breakup of Lorentz symmetry. An unappealing aspect of these
cosmic-ray-puzzle solutions is that they require the existence of a preferred
class of inertial observers. Here I propose a new kinematical solution of the
cosmic-ray puzzle, which does not require the existence of a preferred class of
inertial observers. My proposal is a new example of a type of relativistic
theories, the so-called ""doubly-special-relativity"" theories, which have
already been studied extensively over the last two years. The core ingredient
of the proposal is a deformation of Lorentz transformations in which also the
Planck scale $E_p$ (in addition to the speed-of-light scale $c$) is described
as an invariant. Just like the introduction of the invariant $c$ requires a
deformation of the Galileian transformations into the Lorentz transformations,
the introduction of the invariant $E_p$ requires a deformation of the Lorentz
transformations, but there is no special class of inertial observers. The
Pierre Auger Observatory and the GLAST space telescope should play a key role
in future developments of these investigations. I also emphasize that the
doubly-special-relativity theory here proposed, besides being the first one to
provide a solution for the cosmic-ray puzzle, is also the first one in which a
natural description of macroscopic bodies is achieved, and may find
applications in the context of a recently-proposed dark-energy scenario.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 02:03:35 GMT""}]","2011-09-13"
"astro-ph/0209233","Taichi Kato","T. Kato, R. Ishioka, M. Uemura (Kyoto U)","Dramatic Changes in the Outburst Properties in V503 Cygni","4 pages, 1 figure, to appear in Publ. Astron. Soc. Japan",,"10.1093/pasj/54.6.1029",,"astro-ph",,"  We examined the VSNET light curve of the unusual SU UMa-type dwarf nova V503
Cyg which is known to show a short (89 d) supercycle length and exceptionally
small (a few) normal outbursts within a supercycle. In 1999-2000, V503 Cyg
displayed frequent normal outbursts with typical recurrence times of 7-9 d. The
behavior during this period is characteristic to an usual SU UMa-type dwarf
nova with a short supercycle length. On the other hand, V503 Cyg showed very
infrequent normal outbursts in 2001-2002. Some of the superoutbursts during
this period were observed shorter than usual. The remarkable alternations of
the outbursting states in V503 Cyg support the presence of mechanisms of
suppressing normal outbursts and premature quenching superoutbursts, which have
been proposed to explain some unusual SU UMa-type outbursts. The observed
temporal variability of the suppressing/quenching mechanisms in the same object
suggests that these mechanisms are not primarily governed by a fixed system
parameter but more reflect state changes in the accretion disk.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 02:09:45 GMT""}]","2015-06-24"
"astro-ph/0209234",,"Z.-Q. Shen (1), J. M. Moran (2), and K. I. Kellermann (3) ((1) Isas,
  Japan, (2) Cfa, Usa, (3) Nrao, Usa)","The Central Parsecs of the Bright Quasar PKS 1921 - 293","2 pages including 2 ps figures, to appear in the proceedings of IAU
  8th Asian-Pacific Regional Meeting (July 2 - 5, 2002, Tokyo, Japan), eds: S.
  Ikeuchi, J. Hearnshaw and T. Hanawa",,,,"astro-ph",,"  We report on a VLBA imaging study of the nearby bright southern blazar PKS
1921 - 293 (OV - 236). High resolution VLBA observations, made at four
frequencies (5, 12, 15, and 43 GHz) over the period 1994 - 2000, have revealed
a strongly curved jet extending out to about 50 parsecs from the presumed
central engine. Two epoch VLBA observations, each simultaneously carried out at
both 5 and 43 GHz, show a large position angle difference of 51 - 67 degrees
between the jet emission at 5 and 43 GHz. Although the core of PKS 1921 - 293
has one of the highest brightness temperatures measured in any compact radio
source, unlike other bright blazars it is not a source of gamma-ray emission.
However, there is evidence in these images for superluminal motion within the
central region (a few parsecs from the core) and within the north-east diffuse
emission region. In all six-epoch 43 GHz images, two equally compact bright
components within the central parsec are seen.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 02:37:56 GMT""}]","2007-05-23"
"astro-ph/0209235","Buat","V. Buat, T.T. Takeuchi, A. Boselli, D. Burgarella, H. Hirashita, A.
  Tomita, H. Shibai, B. Milliard, J. Donas, K. Yoshikawa, A.K. Inoue, Y.Y.
  Tajiri","The UV (GALEX) and FIR (ASTRO-F) All Sky Surveys: the measure of the
  dust extinction in the local universe",,"Proceedings of the 8th IAU Asian-Pacific Regional meeting, july
  2002",,,"astro-ph",,"  Before the end of 2002 will be launched the GALEX satellite (a NASA/SMEX
project) which will observe all the sky in Ultraviolet (UV) through filters at
1500 and 2300 A down to m(AB) 21. In 2004 will be launched the ASTRO-F
satellite which will perform an all sky survey at Far-Infrared (FIR)
wavelengths.
  The cross-correlation of both surveys will lead to very large samples of
galaxies for which FIR and UV fluxes will be available. Using the FIR to UV
flux ratio as a quantitative tracer of the dust extinction we will be able to
measure the extinction in the nearby universe (z<0.2) and to perform a
statistically significant analysis of the extinction as a function of galactic
properties. Of particular interest is the construction of pure FIR and UV
selected samples for which the extinction will be measured as templates for the
observation of high redshift galaxies.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 07:14:38 GMT""}]","2007-05-23"
"astro-ph/0209236","Soker Noam","Noam Soker (Dept. of Physics, Oranim, Israel), Joel H. Kastner
  (Chester F. Carlson Center for Imaging Science, RIT, Rochester, NY)","Magnetic Flares on Asymptotic Giant Branch Stars","ApJ, Accepted; revised version of astro-ph/0209236","Astrophys.J. 592 (2003) 498-503","10.1086/375686",,"astro-ph",,"  We investigate the consequences of magnetic flares on the surface of
asymptotic giant branch (AGB) and similar stars. In contrast to the solar wind,
in the winds of AGB stars the gas cooling time is much shorter than the outflow
time. As a result, we predict that energetic flaring will not inhibit, and may
even enhance, dust formation around AGB stars. If magnetic flares do occur
around such stars, we expect some AGB stars to exhibit X-ray emission; indeed
certain systems including AGB stars, such as Mira, have been detected in
X-rays. However, in these cases, it is difficult to distinguish between
potential AGB star X-ray emission and, e.g., X-ray emission from the vicinity
of a binary companion. Analysis of an archival ROSAT X-ray spectrum of the Mira
system suggests an intrinsic X-ray luminosity 2x10^{29} erg/sec and temperature
10^7 K. These modeling results suggest that magnetic activity, either on the
AGB star (Mira A) or on its nearby companion (Mira B), is the source of the
X-rays, but do not rule out the possibility that the X-rays are generated by an
accretion disk around Mira B.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:05:12 GMT""},{""version"":""v2"",""created"":""Sun, 6 Apr 2003 15:20:28 GMT""}]","2009-11-07"
"astro-ph/0209237","Carles Badenes","Carles Badenes and Eduardo Bravo","Prospects for SNIa Explosion Mechanism Identification Through Supernova
  Remnants","4 pages, 3 figures. Proceedings of the ESO/MPA/MPE Workshop 'From
  Twilight to Highlight', the Physics of Supernovae. Garching July 29 - 31,
  2002",,"10.1007/10828549_36",,"astro-ph",,"  We present the first results from an ongoing work aimed to use supernovae
remnants to discriminate among different type Ia supernovae explosion models.
We have computed the hydrodynamic interaction of supernova ejecta with the
interstellar medium, obtaining the evolution of the density, temperature and
ionization structure of the remnant. We have used ejecta profiles obtained from
1D hydrodynamic calculations of the different explosion mechanisms that are
currently under debate. We have analyzed the best indicators that allow to
discriminate among the different explosion mechanisms, taking into account the
diversity of scenarios proposed for the presupernova evolution of the binary
system, and the uncertain amount of electron heating in collisionless shocks.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:31:35 GMT""}]","2009-11-07"
"astro-ph/0209238","Thomas H. Puzia","Thomas H. Puzia (1), Roberto P. Saglia (1), Markus Kissler-Patig (2),
  Claudia Maraston (3), Laura Greggio (1,4), Alvio Renzini (2), & Sergio
  Ortolani (4) ((1) Sternwarte Muenchen, (2) ESO, (3) MPE Garching, (4)
  Universita di Padova)","Integrated Spectroscopy of Bulge Globular Clusters and Fields I. The
  Data Base and Comparison of Individual Lick Indices in Clusters and Bulge","accepted for publication in A&A, 25 pages, incl. 10 figures","Astron.Astrophys. 395 (2002) 45-68","10.1051/0004-6361:20021283",,"astro-ph",,"  We present a comprehensive spectroscopic study of the integrated light of
metal-rich Galactic globular clusters and the stellar population in the
Galactic bulge. We measure line indices which are defined by the Lick standard
system and compare index strengths of the clusters and Galactic bulge. Both
metal-rich globular clusters and the bulge are similar in most of the indices,
except for the CN index. We find a significant enhancement in the CN/<Fe> index
ratio in metal-rich globular clusters compared with the Galactic bulge. The
mean iron index <Fe> of the two metal-rich globular clusters NGC 6528 and NGC
6553 is comparable with the mean iron index of the bulge. Index ratios such as
Mgb/<Fe>, Mg2/<Fe>, Ca4227/<Fe>, and TiO/<Fe>, are comparable in both stellar
population indicating similar enhancements in individual elements which are
traced by the indices. From the globular cluster data we fully empirically
calibrate several metallicity-sensitive indices as a function of [Fe/H] and
find tightest correlations for the Mg2 index and the composite [MgFe] index. We
find that all indices show a similar behavior with galactocentric radius,
except for the Balmer series, which show a large scatter at all radii. However,
the scatter is entirely consistent with the cluster-to-cluster variations in
the horizontal branch morphology.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 10:30:20 GMT""}]","2009-11-07"
"astro-ph/0209239","Barry Smalley","B. Smalley (1), R.B. Gardiner (1), F. Kupka (2 and 3), M.S. Bessell
  (4) ((1) Astrophysics Group, Keele University, (2) Institute for Astronomy,
  University of Vienna, (3) Astronomy Unit, Queen Mary, University of London,
  (4) Research School of Astronomy and Astrophysics, Institute of Advanced
  Studies, The Australian National University)","On the anomaly of Balmer line profiles of A-type stars. Fundamental
  binary systems","10 pages, 4 figures; Accepted by A&A","Astron.Astrophys. 395 (2002) 601-610","10.1051/0004-6361:20021330",,"astro-ph",,"  In previous work, Gardiner et al. (1999) found evidence for a discrepancy
between the Teff obtained from Balmer lines with that from photometry and
fundamental values for A-type stars. An investigation into this anomaly is
presented using Balmer line profiles of stars in binary system with fundamental
values of both Teff and log g. A revision of the fundamental parameters for
binary systems given by Smalley & Dworetsky (1995) is also presented. The Teff
obtained by fitting Halpha and Hbeta line profiles is compared to the
fundamental values and those obtained from uvby photometry. We find that the
discrepancy found by Gardiner et al. (1999) for stars in the range 7000 K <
Teff < 9000 K is no longer evident.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 12:43:26 GMT""}]","2009-11-07"
"astro-ph/0209241","Antonino Del Popolo","Emilio Spedicato (1), Elena Bodon (1), Antonino Del Popolo (1), Nezam
  Mahdavi-Amiri (2) ((1) Department of Mathematics, University of Bergamo,
  Bergamo; (2) Department of Mathematics, Sharif University, Tehran)","ABS Methods and ABSPACK for Linear Systems and Optimization, a Review","18 pages; accepted for publication by 4OR",,,,"astro-ph",,"  ABS methods are a large class of methods, based upon the Egervary rank
reducing algebraic process, first introduced in 1984 by Abaffy, Broyden and
Spedicato for solving linear algebraic systems, and later extended to nonlinear
algebraic equations, to optimization problems and other fields; software based
upon ABS methods is now under development. Current ABS literature consists of
about 400 papers. ABS methods provide a unification of several classes of
classical algorithms and more efficient new solvers for a number of problems.
In this paper we review ABS methods for linear systems and optimization, from
both the point of view of theory and the numerical performance of ABSPACK.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:13:28 GMT""}]","2007-05-23"
"astro-ph/0209242","Mingzhe Li","Xiulian Wang, Bo Feng, Mingzhe Li, Xue-Lei Chen, and Xinmin Zhang","Natural Inflation, Planck Scale Physics and Oscillating Primordial
  Spectrum","20 pages, 11 figures. To appear in Int J Mod. Phys. D","Int.J.Mod.Phys.D14:1347,2005","10.1142/S0218271805006985",,"astro-ph hep-ph hep-th",,"  In the ``natural inflation'' model, the inflaton potential is periodic. We
show that Planck scale physics may induce corrections to the inflaton
potential, which is also periodic with a greater frequency. Such high frequency
corrections produce oscillating features in the primordial fluctuation power
spectrum, which are not entirely excluded by the current observations and may
be detectable in high precision data of cosmic microwave background (CMB)
anisotropy and large scale structure (LSS) observations.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:16:58 GMT""},{""version"":""v2"",""created"":""Wed, 27 Apr 2005 09:16:48 GMT""}]","2008-11-26"
"astro-ph/0209243","Simon Lilly","Simon J. Lilly, C. Marcella Carollo, Alan N. Stockton","The metallicity of star-forming gas over cosmic time","17 pages, 6 figures, Conference Proceedings from ""Origins 2002: The
  Heavy Element Trail from Galaxies to Habitable Worlds"", May 26-29 2002, to be
  published by ASP",,,,"astro-ph",,"  A brief review concludes that there is now good overall agreement between
theoretical estimates of the energy associated with the production of the
observed metal content of the Universe and the observed extragalactic
background light. In addition the overall form of the star-formation history
over 0 < z < 5 is reasonably well constrained.
  The study of emission line gas in galaxies as a function of redshift provides
a complementary view of chemical evolution to that obtained from studies of
absorption line systems in quasar spectra. Emission line gas is more relevant
for some questions, including the confrontation with models for the chemical
evolution of our own and other galaxies, and Origins-related questions about
the formation of stars and planets. Using relatively crude diagnostic
parameters such as Pagel's R23, the increase of the metallicity of star-forming
gas with cosmic epoch can be tracked. Observations of a large sample of CFRS
galaxies at z ~ 0.8 (a look-back time of 0.5 t0 show the appearance of a
significant number of low metallicity systems amongst luminous L* galaxies.
However, overall there is only a modest change in mean metallicity compared
with the present, D log Z = -0.08 +- 0.06. These data do not support a
fading-dwarf scenario for the ``faint blue galaxies''. At z ~ 3 it is likely
that all star-forming galaxies have sub-solar metallicities. The overall
increase in the metallicity of star-forming gas with cosmic epoch matches
rather well the age-metallicity relation in the solar neighbourhood and some
recent models for the evolution of the global metallicity of gas in the
Universe.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:20:49 GMT""}]","2007-05-23"
"astro-ph/0209244","Aake Nordlund","Aake Nordlund and Paolo Padoan","Star Formation and the Initial Mass Function","28 pages, 13 figures, invited tutorial for the workshop ""Simulations
  of Magnetohydrodynamic Turbulence in Astrophysics: Recent Achievements and
  Perspectives"", Paris, July 2-6, 2001, Eds. Edith Falgarone & Thierry Passot","Lect.Notes Phys. 614 (2003) 271-298",,,"astro-ph",,"  Supersonic turbulence fragments the interstellar medium into dense sheets,
filaments, cores and large low density voids. The turbulence is driven on large
scales, probably predominantly by supernovae. The scaling properties of
supersonic turbulence are well described by a new analytical theory. The
distribution of proto-stellar core masses depends primarily on the power
spectrum of the turbulent flow, and on the jump conditions for near isothermal
shocks in a magnetized gas. For the predicted velocity power spectrum index
beta=1.74, consistent with results of numerical experiments of supersonic
turbulence as well as with Larson's velocity-size relation, one obtains by
scaling arguments a power law mass distribution of dense cores with a slope
equal to 3/(4-beta) = 1.33, consistent with the slope of the Salpeter stellar
initial mass function (IMF). Results from numerical simulations confirm this
scaling. Both the analytical model for the stellar IMF and its numerical
estimate show that turbulent fragmentation can also explain the origin of brown
dwarfs.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:35:34 GMT""}]","2007-05-23"
"astro-ph/0209245","Kazushi Iwasawa","K. Iwasawa, P.R. Maloney, and A.C. Fabian","A Chandra observation of the H2O megamaser IC2560","5 pages, MNRAS in press","Mon.Not.Roy.Astron.Soc.336:L71,2002","10.1046/j.1365-8711.2002.06070.x",,"astro-ph",,"  A short Chandra ACIS-S observation of the Seyfert 2 galaxy IC 2560, which
hosts a luminous nuclear water megamaser, shows: 1) the X-ray emission is
extended; 2) the X-ray spectrum shows emission features in the soft (E<2 keV)
X-ray band; this is the major component of the extended emission; and 3) a very
strong (EW~3.6 keV) iron K line at 6.4 keV on a flat continuum. This last
feature clearly indicates that the X-ray source is hidden behind Compton-thick
obscuration, so that the intrinsic hard X-ray luminosity must be much higher
than observed, probably close to ~3e42 erg/s. We briefly discuss the
implications for powering of the maser emission and the central source.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:37:09 GMT""}]","2009-11-07"
"astro-ph/0209246","Gary Steigman","Gary Steigman (OSU)","On the Variation of Deuterium and Oxygen Abundances in the Local
  Interstellar Medium","21 pages, 9 figures, 5 equations, matches final version (minor
  changes) to appear in ApJ, v586, n2, April 1, 2003","Astrophys.J. 586 (2003) 1120-1126","10.1086/367696",,"astro-ph",,"  The first observations of deuterium and oxygen in the Local Interstellar
Medium (LISM) obtained with the Far Ultraviolet Spectroscopic Explorer (FUSE)
can be used to search for local abundance variations. While the very limited
sample of these first data may be consistent with no variations, they do offer
a hint of anti-correlated variations between D/H and O/H. If confirmed by more
data (which will require independently determined, accurate HI column
densities), these hints suggest that observations of interstellar gas within a
few kpc of the solar neighborhood will reveal clear signs of the evolution of
the abundance of deuterium from there and then (the Big Bang), to here and now
(the Local Interstellar Medium of the Galaxy).
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:39:47 GMT""},{""version"":""v2"",""created"":""Tue, 3 Dec 2002 22:08:09 GMT""}]","2009-11-07"
"cond-mat/0209266","Anna Sartori","A. Sartori, A. O. Parry","Critical wetting in power-law wedge geometries","10 pages, 3 figures, Submitted to J. Phys.: Cond. Matt",,"10.1088/0953-8984/14/41/102",,"cond-mat.soft cond-mat.stat-mech",,"  We investigate critical wetting transitions for fluids adsorbed in wedge-like
geometries where the substrate height varies as a power-law, $z(x,y) \sim |x|
^\gamma$, in one direction. As $\gamma$ is increased from 0 to 1, the substrate
shape is smoothly changed from a planar-wall to a linear wedge. The continuous
wetting and filling transitions pertinent to these limiting geometries are
known to have distinct phase boundaries and critical singularities. We predict
that the intermediate critical wetting behaviour occurring for $0<\gamma< 1$
falls into one of {\it{three}} possible regimes depending on the values of
$\gamma$, p and q. The unbinding behaviour is characterised by a high degree of
non-universality, strongly anisotropic correlations and enhanced interfacial
roughness. The shift in phase boundary and emergence of universal critical
behaviour in the linear wedge limit is discussed in detail.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:06:55 GMT""}]","2009-11-07"
